@@,name,position
---,Muhammadu Buhari,President of Nigeria
+++,Zubairu Dada,Minister of State Foreign Affairs
+++,Timipre Silva,Minister of State Petroleum
+++,Sadiya Umar Faruk,"Minister of Humanitarian Affairs, Disaster Management and Social Development"
+++,Ramatu Tijani Aliyu,Minister of State Federal Capital Territory (FCT)
+++,Otunba Adeniyi Adebayo,"Minister of Industry, Trade and Investment"
+++,Omotayo Alasuadura,Minister of State for Niger Delta
+++,Mustapha Baba Shehuri,Minister of State Agriculture and Rural Development
+++,Muhammad Mahmood,Minister of Environment
+++,Mohammed Sabo Nanono,Minister of Agriculture and Rural Development
+++,Mohammed Maigari Dangyadi,Minister of Police Affairs
+++,Mohammed A. Abdullahi,"Minister of State, Science and Technology"
+++,Maryam Katagum,"Minister of State Industry, Trade and Investment"
+++,Godwin Jedi-Agba,Minister of State Power
+++,George Akume,Minister of Special Duties and Inter-Governmental Affairs
+++,Gbemisola Saraki,Minister of State for Transportation
+++,Festus Keyamo,"Minister of State, Labour"
+++,Emeka Nwajuba,Minister of State for Education
+++,Ali Isa Pantami,Minister of Communication and Digital Economy
+++,Adeleke Mamora,Minister of State for Health
+++,Abubakar D. Aliyu,Minister of State for Works and Housing
