item,itemLabel,state
Q3510270,Uche Chukwumerije,Abia
,Chris Adighije,Abia
Q4684485,Adolphus Wabara,Abia
Q3511417,Iya Abubakar,Adamawa
Q6301957,Jubril Aminu,Adamawa
Q6274897,Jonathan Zwingina,Adamawa
Q5347498,Effiong Dickson Bob,Akawa Ibom
,Itak Bob Ekarika,Akawa Ibom
,Aniette Okon,Akawa Ibom
Q7877282,Udoma Udo Udoma,Akawa Ibom
,Ugochukwu Uba,Anambra
,Emmanuel Anosike,Anambra
,Ikechukwu Abana,Anambra
Q16886055,Baba Tela,Bauchi
,Adamu Bala,Bauchi
,Abubakar Maikafi,Bauchi
,John Brambaifa,Bayelsa
Q5231744,David Brigidi,Bayelsa
,Spiff Inatim Rufus,Bayelsa
Q459205,David Mark,Benue
,Joshua Adagba,Benue
Q5218701,Daniel Saror,Benue
Q6893057,Mohammed Daggash,Borno
,Mohammed Abba Aji,Borno
Q7089709,Omar Hambagda,Borno
Q5607086,Gregory Ngaji,Cross River
Q378378,Victor Ndoma Egbe,Cross River
Q4868127,Bassey Henshaw,Cross River
Q7147437,Patrick Osakwe,Delta
Q5442241,Felix Ibru,Delta
Q6138857,James Manager,Delta
,Christopher Nshi,Ebonyi
Q6310120,Julius Ucha,Ebonyi
,Emmanuel A. Azu,Ebonyi
Q7926217,Victor Oyofo,Edo
Q7106495,Oserheimen Osunbor,Edo
Q13140624,Daisy Danjuma,Edo
,James Kolawole,Ekiti
,Clement Awoyelu,Ekiti
,Bode Olowoporoku,Ekiti
Q6388239,Ken Nnamani,Enugu
Q13140687,Ike Ekweremadu,Enugu
Q5446766,Fidelis Okoro,Enugu
Q29221546,Haruna Garba,Gombe
Q4670495,Abubakar Mohammed,Gombe
Q7689220,Tawar Umbi Wada,Gombe
,Amah Iwuagwu,Imo
Q5991127,Ifeanyi Godwin Araraume,Imo
Q4799853,Arthur Nzeribe,Imo
,Bello M. Yusuf,Jigawa
Q5984682,Ibrahim Muhammed Kirikasama,Jigawa
,Dalha Ahmed Danzomo,Jigawa
Q5210857,Dalhatu Tafida,Kaduna
Q6892988,Mohammed Aruwa,Kaduna
Q6078472,Isaiah Balat,Kaduna
Q4884084,Bello Hayatu Gwarzo,Kano
,Rufai Sani Hanga,Kano
,Usman Kibiya Umar,Kano
Q6734487,Mahmud Kanti Bello,Katsina
Q4670223,Abu Ibrahim,Katsina
,Umar Ibrahim Tsauri,Katsina
,Sani Kamba,Kebbi
,Faruk Bello,Kebbi
Q6893322,Mohammed Sani Sami,Kebbi
Q7852884,Tunde Ogbeha,Kogi
,Mohammed Ohiare,Kogi
,Ugbane Yahaye,Kogi
Q4695931,Ahmed Mohammed Inuwa,Kwara
Q5529326,Gbemisola Ruqayyah Saraki,Kwara
,Suleiman Ajadi,Kwara
Q7518155,Simon Ajibola,Kwara
Q13651307,Musiliu Obanikoro,Lagos
Q13140868,Tokunbo Afikuyomi,Lagos
Q4681916,Adeleke Mamora,Lagos
,John Danboyi,Nasarawa
Q4670503,Abubakar Sodangi,Nasarawa
,Emmanuel Okpede,Nasarawa
Q5984638,Ibrahim Kuta,Niger
Q6075725,Isa Mohammed,Niger
Q7068794,Nuhu Aliyu Labbo,Niger
Q5984059,Ibikunle Amosun,Ogun
Q20604383,Iyabo Anisulowo,Ogun
,Tokunbo Ogunbanjo,Ogun
,Titus Olupitan,Ondo
Q5529332,Gbenga Ogunniya,Ondo
Q13140669,Hosea Ehinlanwo,Ondo
Q13140705,Iyiola Omisore,Osun
Q4701060,Akinlabi Olasunkanmi,Osun
,Kola Ogunwale,Osun
Q7705525,Teslim Folarin,Oyo
,Robert Koleoso,Oyo
Q4667894,Abiola Ajimobi,Oyo
,Timothy Adudu,Plateau
Q108443479,Ibrahim Mantu,Plateau
,Cosmos Niagwan,Plateau
Q13140681,Ibiapuye Martyns-Yellowe,Rivers
Q6514449,Lee Maeba,Rivers
Q6219847,John Azuta-Mbata,Rivers
Q4840567,Badamasi Maccido,Sokoto
,Sule Yari Gandi,Sokoto
Q7881173,Umaru Dahiru,Sokoto
,Zik Sunday Ambuno,Taraba
Q4665788,Abubakar Ibrahim,Taraba
,Saleh U. Damboyi,Taraba
Q7902039,Usman Albishir,Yobe
,Usman Adamu,Yobe
Q6745774,Mamman Bello Ali,Yobe
Q6503559,Lawali Shuaibu,Zamfara
Q7399992,Saidu Dansadau,Zamfara
Q8061881,Yushau Anka,Zamfara
,Isah Maina,FCT
