@@,itemlabel,item,startdate,enddate
->,Theophilus Danjuma,Q7782290,1999-06->1999,2003-05->2003
->,Rabiu Kwankwaso,Q3509922,2003-07->2003,2006-08->2007
---,Thomas Aguiyi-Ironsi,Q7786963,2006-08-30,2007-07-26
->,Yayale Ahmed,Q8050511,2007-07-26->2007,2008-09-08->2008
->,Shettima Mustapha,Q7495679,2008-12-17->2008,2009-07-14->2009
->,Godwin Abbe,Q5576962,2009-07-14->2009,2010-03-17->2010
->,Adetokunbo Kayode,Q4682392,2010-04-06->2010,2011-07->2011
->,Haliru Mohammed Bello,Q5642458,2011-07,2012-06-22->2012-06
+++,Labaran Maku,Q17541403,2013-09,2014-03
->,Aliyu Mohammed Gusau,Q4727556,2014-03-05->2014-03,2015-05
->,Mansur Dan Ali->Mansur Mohammed Dan Ali,Q23541058,2015-11-11->2015-11,2019-05-29->2019-05
->,Bashir Salihi Magashi,Q4866857,2019-08-21->2019-08,
