@@,statelabel,deputy,deputylabel,start
->,Yobe State,Q111080881->NULL,Idi Barade Gubana,2019
->,Sokoto State,Q111080884->NULL,Alhaji Mannir Dan’Iya,2015
->,Oyo State,Q111080886->NULL,Rauf Aderemi Olaniyan,2019
->,Osun State,Q111080887->NULL,Gboyega Alabi,2018
->,Ondo State,Q105725595,Lucky aiyedatiwa->Lucky Aiyedatiwa,2017
->,Nasarawa State,Q111080260->NULL,Emmanuel Agbadu Akabe,2019
->,Lagos->Lagos State,Q16195565,Femi Hamzat,2019
->,Kwara State,Q111080888->NULL,Kayode Alibi,2019
->,Kogi State,Q80868413,Edward David Onoja->Edward Onoja,2016
->,Kebbi State,Q111080889->NULL,Samaila Yombe Dabai,2015
