state,stateLabel,deputy,deputyLabel,position,positionLabel,start,end
Q320852,Abia State,Q21173950,Ude Oko Chukwu,Q23540955,Deputy Governor of Abia State,2015,
Q337514,Adamawa State,Q64738590,Crowther Seth,Q111080320,Deputy Governor of Adamawa State,2019,
Q424388,Akwa Ibom State,Q29857076,Moses Ekpo,Q111080330,Deputy Governor of Akwa Ibom State,2015,
Q117714,Anambra State,Q27967798,Nkem Okeke,Q111080339,Deputy Governor of Anambra State,2018,
Q503936,Bauchi State,Q16886055,Baba Tela,Q111080341,Deputy Governor of Bauchi State,2019,
Q532153,Bayelsa State,Q86071960,Lawrence Ewhrudjakpo,Q111080343,Deputy Governor of Bayelsa State,2020,
Q429908,Benue State,Q19870558,Benson Abounu,Q111080345,Deputy Governor of Benue State,2015,
Q130626,Borno State,Q64747648,Umar Usman Kadafur,Q111080347,Deputy Governor of Borno State,2019,
Q739676,Cross River State,Q64744038,Ivara Esu,Q111080349,Deputy Governor of Cross River State,2015,
Q503910,Delta State,Q64745088,Kingsley Otuaro,Q111080350,Deputy Governor of Delta State,2015,
Q506808,Ebonyi State,Q64853177,Eric Kelechi Igwe,Q111080351,Deputy Governor of Ebonyi State,2015,
Q682704,Edo State,Q28606434,Philip Shaibu,Q111080354,Deputy Governor of Edo State,2016,
Q534917,Ekiti State,Q97467151,Bisi Egbeyemi,Q111080366,Deputy Governor of Ekiti State,2018,
Q3817714,Enugu State,Q65050810,Cecilia Ezeilo,Q111080378,Deputy Governor of Enugu State,2015,
Q376241,Gombe State,Q64853275,Manasseh Daniel Jatau,Q111080389,Deputy Governor of Gombe State,2019,
Q842939,Imo State,Q106754948,Placid Njoku,Q111080402,Deputy Governor of Imo State,2020,
Q682691,Jigawa State,Q106774462,Umar Namadi,Q111080409,Deputy Governor of Jigawa State,2015,2023-06-01
Q878284,Kaduna State,Q63032066,Hadiza Sabuwa Balarabe,Q111080410,Deputy Governor of Kaduna State,2015,
Q682571,Kano State,Q104704580,Nasir Yusuf Gawuna,Q111080413,Deputy Governor of Kano State,2015,
Q657821,Katsina State,Q84306008,Mannir Yakubu,Q111080415,Deputy Governor of Katsina State,2015,
Q748523,Kebbi State,Q111080889,Samaila Yombe Dabai,Q111080417,Deputy Governor of Kebbi State,2015,
Q387745,Kogi State,Q80868413,Edward David Onoja,Q111080419,Deputy Governor of Kogi State,2016,
Q464953,Kwara State,Q111080888,Kayode Alibi,Q111080421,Deputy Governor of Kwara State,2019,
Q815913,Lagos,Q16195565,Femi Hamzat,Q60767857,Deputy Governor of Lagos State,2019,
Q836645,Nasarawa State,Q111080260,Emmanuel Agbadu Akabe,Q111079962,Deputy Governor of Nasarawa State,2019,
Q503932,Niger State,Q64009713,Ahmed Muhammad Ketso,Q111080439,Deputy Governor of Niger State,2015,
Q836657,Ogun State,Q96619780,Noimot Salako-Oyedele,Q111080446,Deputy Governor of Ogun State,2019,
Q836654,Ondo State,Q105725595,Lucky aiyedatiwa,Q111080451,Deputy Governor of Ondo State,2017,
Q682721,Osun State,Q111080887,Gboyega Alabi,Q111080457,Deputy Governor of Osun State,2018,
Q503905,Oyo State,Q111080886,Rauf Aderemi Olaniyan,Q111080459,Deputy Governor of Oyo State,2019,
Q503928,Plateau State,Q18379330,Sonni Gwanle Tyoden,Q111080460,Deputy Governor of Plateau State,2015,
Q503923,Rivers State,Q18719291,Ipalibo Banigo,Q23540873,Deputy Governor of Rivers State,2015,
Q503941,Sokoto State,Q111080884,Alhaji Mannir Dan’Iya,Q111080463,Deputy Governor of Sokoto State,2015,
Q463959,Taraba State,Q101438711,Haruna Manu,Q111080464,Deputy Governor of Taraba State,2015,
Q682777,Yobe State,Q111080881,Idi Barade Gubana,Q111080466,Deputy Governor of Yobe State,2019,
Q145793,Zamfara State,Q5679766,Hassan Muhammed Gusau,Q111080469,Deputy Governor of Zamfara State,2019,
