wdid,name,start,end,position
Q361567,Muhammadu Buhari,2015-05-29,2019-05-29,President
Q19730927,Yemi Osinbajo,2015-05-29,2019-05-29,Vice President
Q21002307,Abba Kyari,2015-08-27,2019-05-29,Chief of Staff to the President
Q21067202,Babachir David Lawal,2015-08-27,2017-10-30,Secretary to the Government of the Federation
,Habibat Lawal,2017-04-19,2017-11-01,Secretary to the Government of the Federation
Q47363740,Boss Mustapha,2017-11-01,2019-05-28,Secretary to the Government of the Federation
Q4820218,Audu Innocent Ogbeh,2015-11-11,2019-05-28,Minister of Agriculture and Rural Development
Q13140667,Heineken Lokpobiri,2015-11-11,2019-05-28,Minister of State for Agriculture and Rural Development
Q7877282,Udoma Udo Udoma,2015-11-11,2019-05-28,Minister of Budget and National Planning
Q42559242,Zainab Ahmed,2015-11-11,2018-09-19,Minister of State for Budget and National Planning
Q22002965,Abdur-Raheem Adebayo Shittu,2015-11-11,2019-05-28,Minister of Communications
Q23541058,Mansur Dan Ali,2015-11-11,2019-05-28,Minister of Defence
Q41559149,Adamu Adamu,2015-11-11,2019-05-28,Minister of Education
Q41560178,Anthony Anwuka,2015-11-11,2019-05-28,Minister of State for Education
Q4746340,Amina Mohammed,2015-11-11,2016-12-15,Minister of Environment
Q60318992,Ibrahim Usman Jibril,2016-12-15,2018-12-12,Minister of Environment
,Suleiman Hassan Zarma,2018-12-13,2019-05-28,Minister of Environment
Q60318992,Ibrahim Usman Jibril,2015-11-11,2018-12-12,Minister of State for Environment
Q59829052,Mohammed Musa Bello,2015-11-11,2019-05-28,Minister of the Federal Capital Territory
Q21500792,Kemi Adeosun,2015-11-11,2018-09-14,Minister of Finance
Q42559242,Zainab Ahmed,2018-09-14,2019-05-28,Minister of Finance
Q21467394,Geoffrey Onyeama,2015-11-11,2019-05-28,Minister of Foreign Affairs
Q18129932,Khadija Bukar Abba Ibrahim,2015-11-11,2019-01-09,Minister of State for Foreign Affairs
Q21062079,Isaac Folorunso Adewole,2015-11-11,2019-05-28,Minister of Health
Q62670421,Osagie Ehanire,2015-11-11,2019-05-28,Minister of State for Health
Q27967823,Okechukwu Enelamah,2015-11-11,2019-05-28,"Minister of Industry, Trade and Investment"
Q42588916,Aisha Abubakar,2015-11-11,2018-09-30,"Minister of State for Industry, Trade and Investment"
Q19561129,Lai Mohammed,2015-11-11,2019-05-28,Minister of Information and Culture
Q20675806,Abdulrahman Bello Dambazau,2015-11-11,2019-05-28,Minister of the Interior
Q23714146,Abubakar Malami,2015-11-11,2019-05-28,Minister of Justice and Attorney General of the Federation
Q3510794,Chris Ngige,2015-11-11,2019-05-28,Minister of Labour and Employment
Q23022601,James Ocholi,2015-11-11,2016-03-06,Minister of State for Labour and Employment
Q61995784,Stephen Ocheni,2017-08-16,2019-05-28,Minister of State for Labour and Employment
Q6380660,Kayode Fayemi,2015-11-11,2018-05-30,Minister of Mines and Steel Development
,Abubakar Bawa Bwari,2018-05-30,2019-05-28,Minister of Mines and Steel Development
,Abubakar Bawa Bwari,2015-11-11,2019-05-28,Minister of State for Mines and Steel Development
Q27914853,Usani Uguru Usani,2015-11-11,2019-05-28,Minister of Niger Delta Affairs
,Omole Daramola,2015-11-11,2019-05-28,Minister of State for Niger Delta Affairs
Q361567,Muhammadu Buhari,2015-11-11,2019-05-28,Minister of Petroleum Resources
Q22005714,Emmanuel Ibe Kachikwu,2015-11-11,2019-05-28,Minister of State for Petroleum Resources
Q62356,Babatunde Fashola,2015-11-11,2019-05-28,"Minister of Power, Works and Housing"
Q99162710,Mustapha Baba Shehuri,2015-11-11,2019-05-28,"Minister(s) of State for Power, Works and Housing"
,Suleiman Hassan Zarma,2017-08-16,2018-12-13,"Minister(s) of State for Power, Works and Housing"
Q13655513,Ogbonnaya Onu,2015-11-11,2019-05-28,Minister of Science and Technology
Q7370548,Rotimi Amaechi,2015-11-11,2019-05-28,Minister of Transportation
Q7530281,Hadi Sirika,2015-11-11,2019-05-28,Minister of State for Aviation
Q66309786,Suleiman Adamu Kazaure,2015-11-11,2019-05-28,Minister of Water Resources
Q4699144,Aisha Alhassan,2015-11-11,2018-09-29,Minister of Women Affairs and Social Development
Q42588916,Aisha Abubakar,2018-09-30,2019-05-28,Minister of Women Affairs and Social Development
Q61630007,Solomon Dalung,2015-11-11,2019-05-28,Minister of Youth and Sports Development
