wdid,name,wdLabel,source,sourceDate,pid,position,start,end,psid
Q19561129,Lai Mohammed,Lai Mohammed,,,Q108037314,Minister of Information and Culture,2015-11-01,,Q19561129-2BD8EE78-6F31-4DAC-8CE2-C5FCCB35361B
Q19730927,Yemi Osinbajo,Yemi Osinbajo,,,Q2625960,Vice President of Nigeria,2015-05-29,,Q19730927-c73c3e8f-4d1e-dc11-ccbe-04be6e9f5117
Q20675806,Abdulrahman Bello Dambazau,Abdulrahman Bello Dambazau,,,Q108035710,Minister of Interior,2015-11-01,2019-05-01,Q20675806-8AF1DAF5-BE70-42E8-8039-B3B3BD40A3C5
Q21002307,Abba Kyari,Abba Kyari,,,Q96418112,Chief of Staff to the President,2015-08-27,2020-04-17,Q21002307-D3FFB062-6B6B-4D46-A04B-879D035E55A3
Q21062079,Isaac Folorunso Adewole,Isaac Folorunso Adewole,,,Q75157896,Minister of Health,2015-11-11,2019-05-01,Q21062079-7298B45B-C36D-45FB-B7AD-AE6A7ECF2906
Q21067202,Babachir David Lawal,Babachir David Lawal,,,Q18085838,Secretary to the Government of the Federation,2015-08-27,2017-10-29,Q21067202-1AE43FC9-7BE3-41CB-A376-66757BFB87A4
Q21467394,Geoffrey Onyeama,Geoffrey Onyeama,,,Q3354633,Minister of Foreign Affairs,2015-01-01,,Q21467394-136cc5e7-48bc-ce01-ef4b-55e8e52a93c4
Q21500792,Kemi Adeosun,Kemi Adeosun,,,Q5449550,Finance Minister of Nigeria,2015-11-11,2018-09-14,Q21500792-c97459f3-4767-7fa4-6a3f-2d40edecba45
Q23541058,Mansur Dan Ali,Mansur Dan Ali,,,Q5251230,Minister of Defence of Nigeria,2015-11-11,2019-05-29,Q23541058-5D2DCA22-9278-4288-90A5-C8F015B21E03
Q23714146,Abubakar Malami,Abubakar Malami,,,Q108035668,Minister of Justice,2015-11-11,,Q23714146-E4BEA3BD-FEE2-4310-B4A7-B50B35E52681
Q3510794,Chris Ngige,Chris Ngige,,,Q106406342,Nigerian Minister of Labour,2015-11-11,,Q3510794-DA311186-BAD9-458E-BDB5-EA795DC00065
Q361567,Muhammadu Buhari,Muhammadu Buhari,,,Q111079730,Minister of Petroleum Resources,2015-11-11,,Q361567-3E10A2A5-7D45-4ED9-906C-5050D26EB29A
Q361567,Muhammadu Buhari,Muhammadu Buhari,,,Q500282,President of Nigeria,2015-05-29,,Q361567-bb38d547-47f9-93d3-fd1a-a95ff28b1815
Q41559149,Adamu Adamu,Adamu Adamu,,,Q75153172,Education Minister of Nigeria,2015-11-11,,Q41559149-766A52B1-B859-47F0-B4F4-504D4CA015F0
Q42559242,Zainab Ahmed,Zainab Ahmed,,,Q5449550,Finance Minister of Nigeria,2018-09-01,,Q42559242-765d441b-467e-f1d4-fe5c-b8118aa81cb9
Q42559242,Zainab Ahmed,Zainab Ahmed,,,Q108067484,Minister of State for Budget and National Planning,2015-01-01,2018-01-01,Q42559242-f4dbd60d-419e-1b1d-5b4b-da16dcd1424a
Q47363740,Boss Mustapha,Boss Mustapha,,,Q18085838,Secretary to the Government of the Federation,2017-11-01,,Q47363740-B83F8FF0-E141-4C15-AF43-3F67B5AC679C
Q59829052,Mohammed Musa Bello,Mohammed Musa Bello,,,Q59514359,Minister of the Federal Capital Territory,2015-05-29,,Q59829052-8AE8B3EE-5D26-47DA-A15B-BC787A99B9FC
Q62356,Babatunde Fashola,Babatunde Fashola,,,Q108036024,Minister of Works and Housing,2015-11-11,,Q62356-CB8AA16B-F3D3-4302-9F8D-5DB24D8986AB
Q66309786,Suleiman Adamu Kazaure,Suleiman Adamu Kazaure,,,Q108037321,Minister of Water Resources,2015-11-01,,Q66309786-447ABA62-5F0B-4795-9BA9-55EFA6C6EF69
