item,itemLabel,state
Q5381464,Enyinnaya Abaribe Harcourt,Abia
Q7042547,Nkechi Justina Nwaogu,Abia
Q3510270,Uche Chukwumerije,Abia
Q7185532,Philips Tanimu Aduda,Abuja
Q4695844,Ahmed Hassan Barata,Adamawa
Q4884086,Bello Mohammed Tukur,Adamawa
Q4914035,Bindo Jibrilla,Adamawa
Q4734691,Aloysius Akpan Etok,Akwa Ibom
Q10987178,Ita Enang,Akwa Ibom
Q5702218,Helen Esuene,Akwa Ibom
Q3510794,Chris Ngige,Anambra
Q5373308,Emmanuel Nnamdi Uba,Anambra
Q6251174,John Okechukwuemeka,Anambra
Q4665254,Abdul Ahmed Ningi,Bauchi
Q4837564,Babayo Garba Gamawa,Bauchi
Q4680543,Adamu Gumba,Bauchi
Q13140667,Heineken Lokpobiri,Bayelsa
Q5132325,Clever Ikisikpo,Bayelsa
Q5373326,Emmanuel Paulker,Bayelsa
Q459205,David Mark,Benue
Q3510803,George Akume,Benue
Q4861327,Barnabas Andyar Gemade,Benue
Q4696069,Ahmed Zanna,Borno
Q6736241,Maina Maaji Lawan,Borno
Q3509941,Mohammed Ali Ndume,Borno
Q4868129,Bassey Otu,Cross River
Q4887251,Benedict Ayade,Cross River
Q378378,Victor Ndoma-Egba,Cross River
Q6138857,James Manager,Delta
Q4799876,Arthur Okowa Ifeanyi,Delta
Q4701580,Akpor Pius Ewherido,Delta
Q13140620,Christopher Nwankwo,Ebonyi
Q7561969,Sonni Ogbuoji,Ebonyi
Q13140815,Paulinus Igwe Nwagu,Ebonyi
Q5348580,Ehigie Edobor Uzamere,Edo
Q7077836,Odion Ugbesia,Edo
Q5290341,Domingo Alaba Obende,Edo
Q4837432,Babafemi Ojudu,Ekiti
,Olubunmi Adetunbi,Ekiti
,Anthony Adeniyi,Ekiti
Q4831565,Ayogu Eze,Enugu
,Gilbert E. Nnaji,Enugu
Q13140687,Ike Ekweremadu,Enugu
Q3510706,Mohammed Danjuma Goje,Gombe
Q7395446,Sa'idu Ahmed Alkali,Gombe
Q6290036,Joshua M. Lidani,Gombe
Q1945914,Chris Anyanwu,Imo
Q5899569,Hope Uzodinma,Imo
Q13140754,Matthew Ifeanyi Nwagwu,Imo
Q4665816,Abdulaziz Usman,Jigawa
Q5219980,Danladi Abdullahi Sankara,Jigawa
Q4666168,Abdulmumini M. Hassan,Jigawa
Q8061938,Yusuf Datti Baba-Ahmed,Kaduna
Q3510785,Nenadi Usman,Kaduna
Q6893308,Mohammed Saleh,Kaduna
Q4884084,Bello Hayatu Gwarzo,Kano
Q6344250,Kabiru Ibrahim Gaya,Kano
Q4866793,Basheer Garba Mohammed,Kano
Q4670223,Abu Ibrahim,Katsina
Q4696007,Ahmed Sani Stores,Katsina
,Abdul Yandomi,Katsina
Q6893191,Mohammed Magoro,Kebbi
Q10998235,Abubakar Atiku Bagudu,Kebbi
,Isa Muhammed Galaudu,Kebbi
Q5373202,Emmanuel Dangana Ocheja,Kogi
,Nurudeen Abatemi Usman,Kogi
Q7543924,Smart Adeyemi,Kogi
Q4986999,Bukola Saraki,Kwara
Q6893329,Mohammed Shaaba Lafiagi,Kwara
Q7518155,Simon Ajibola,Kwara
Q5529328,Gbenga Bareehu Ashafa,Lagos
Q5521330,Ganiyu Solomon,Lagos
Q7088857,Oluremi Tinubu,Lagos
Q4666120,Abdullahi Adamu,Nasarawa
Q8061976,Yusuf Musa Nagogo,Nasarawa
Q7636116,Suleiman Asonya Adokwe,Nasarawa
Q5208840,Dahiru Awaisu Kuta,Niger
Q5984684,Ibrahim Musa,Niger
Q8064832,Zainab Abdulkadir Kure,Niger
Q4701045,Akin Babalola Kamar Odunsi,Ogun
Q7088837,Olugbenga Onaolapo Obadara,Ogun
Q7446085,Sefiu Adegbenga Kaka,Ogun
Q3511513,Robert Ajayi Boroffice,Ondo
Q4701094,Akinyelure Patrick Ayo,Ondo
Q4940288,Boluwaji Kunlere,Ondo
Q13651011,Mudasiru Oyetunde Hussein,Osun
Q5112997,Christopher Omoworare Babajide,Osun
Q7088869,Olusola Adeyeye,Osun
,Hosea Ayoola Agbola,Oyo
Q18062174,Olufemi Lanlehin,Oyo
Q4831550,Ayoade Ademola Adeseun,Oyo
,Gyang Datong,Plateau
Q7926084,Victor Lar,Plateau
Q6289751,Joshua Dariye,Plateau
Q5545186,George Thompson Sekibo,Rivers
Q6732156,Magnus Ngei Abe,Rivers
Q8022970,Wilson Asinobi Ake,Rivers
Q4666129,Abdullahi Ibrahim Gobir,Sokoto
Q4695944,Ahmed Muhammad Maccido,Sokoto
Q7881173,Umaru Dahiru,Sokoto
Q4699144,Aisha Jummai,Taraba
Q4670509,Abubakar Umar Tutare,Taraba
Q5373159,Emmanuel G. Bwacha,Taraba
Q4695864,Ahmed Ibrahim Lawan,Yobe
Q4986810,Bukar Ibrahim,Yobe
Q4727635,Alkali Abdulkadir Jajere,Yobe
Q3510720,Ahmad Rufai Sani,Zamfara
Q6344204,Kabir Garba Marafa,Zamfara
Q7399413,Sahabi Alhaji Yaú,Zamfara
