item,itemLabel,party,partyLabel,area,areaLabel,startDate,endDate,gender
Q35538989,ABDUKADIR RAHIS,Q4729266,All Progressives Congress,,"Maiduguri (Metropolitan), Borno State",,,
Q35538256,ABDUL-MALIK ZUBAIRU,Q4729266,All Progressives Congress,,"Bungudu/Maru, Zamfara State",,,
Q35537917,ABDULAHI FARUK,Q4729266,All Progressives Congress,,"B/Kebbi/Kalgo/Bunza, Kebbi State",,,
Q35538616,ABDULLAHI HASSAN,Q4729266,All Progressives Congress,,"Bagudo/Suru, Kebbi State",,,
Q35536424,ABDULLAHI MOHAMMED,Q4729266,All Progressives Congress,,"Kware/Wamakko, Sokoto State",,,male
Q35539653,ABDULMUMIN JIBRIN,Q4729266,All Progressives Congress,,"Bebeji/Kiru, Kano State",,,male
Q35538173,ABDULRAZAK NAMDAS,Q4729266,All Progressives Congress,,"Jada/Ganye/Mayo Belwa/Toungo, Adamawa State",,,
Q24668829,ABDUSSAMAD DASUKI,Q4729266,All Progressives Congress,,"Kebbe/Tambuwal, Sokoto State",,,male
Q35537367,ABUBAKAR AMUDA-KANNIKE,Q4729266,All Progressives Congress,,"Ilorin East/South, Kwara State",,,
Q35537514,ABUBAKAR DAHIRU,Q4729266,All Progressives Congress,,"Lafia/Obi, Nassarawa State",,,
Q35539437,ABUBAKAR LADO,Q4729266,All Progressives Congress,,"Gurara/Suleja/Tafa, Niger State",,,male
Q35537404,ABUBAKAR LAWAL,Q4729266,All Progressives Congress,,"Yola North/Yola South/Girei, Adamawa State",,,
Q35539394,ADAMS JAGABA,Q4729266,All Progressives Congress,,"Kachia/Kagarko, Kaduna State",,,
Q35539631,ADAMU GURAI,Q4729266,All Progressives Congress,,"Shira/Giade, Bauchi State",,,
Q35539342,ADAMU KAMALE,Q1551163,Peoples Democratic Party,,"Michika/Madagali, Adamawa State",,,
Q35538773,ADAMU MUHAMMADU,Q4729266,All Progressives Congress,,"Babura/Garki, Jigawa State",,,
Q35538144,ADAMU SALIHU,Q4729266,All Progressives Congress,,"BOSSO/PAIKORO, Niger State",,,
Q35539019,ADEBUTU OLADIPUPO,Q1551163,Peoples Democratic Party,,"Ikenne/Shagamu/Remo North, Ogun State",,,
Q23414656,ADEKOYA ADESEGUN,Q1551163,Peoples Democratic Party,,"Ijebu North/Ijebu East/Ogun Waterside, Ogun State",,,male
Q35539699,ADEKUNLE AKINLADE,Q4729266,All Progressives Congress,,"Egbado South and Ipokia, Ogun State",,,
Q35536640,ADEYEMI ADEPOJU,Q4729266,All Progressives Congress,,"Ibarapa East/Ido, Oyo State",,,male
Q35537951,ADO ALHASSAN,Q4729266,All Progressives Congress,,"Tudun-Wada/Doguwa, Kano State",,,male
Q35536189,ADO MUSA,Q4729266,All Progressives Congress,,"Gezawa/Gabasawa, Kano State",,,
Q35538290,AFE OLOWOOKERE,Q4729266,All Progressives Congress,,"Akure North/South, Ondo State",,,
Q35537263,AGBEDI YEITIEMONE,Q1551163,Peoples Democratic Party,,"Sagbama/Ekeremor, Bayelsa State",,,
Q35537143,AHMAD BABBA,Q4729266,All Progressives Congress,,"Kankia/Ingawa/Kusada, Katsina State",,,male
Q35539361,AHMED ABU,Q4729266,All Progressives Congress,,"Lavun/Mokwa/Edati, Niger State",,,
Q35536581,AHMED RUFAI,Q4729266,All Progressives Congress,,"Kaduna South, Kaduna State",,,male
Q35539987,AHMED YERIMA,Q4729266,All Progressives Congress,,"Misau/Dambam, Bauchi State",,,male
Q35537790,AISHATU DUKKU,Q4729266,All Progressives Congress,,"Dukku / Nafada, Gombe State",,,female
Q35538678,AISOWIEREN PATRICK,Q4729266,All Progressives Congress,,"Orhionmwon/Uhunmwode, Edo State",,,
Q35536361,AJA SAMSON,Q1551163,Peoples Democratic Party,,"Oju/Obi, Benue State",,,
Q35536789,AJAYI ADEYINKA,Q4729266,All Progressives Congress,,"Ife Federal Constituency, Osun State",,,
Q35536928,AJAYI AYANTUNJI,Q4729266,All Progressives Congress,,"Odo-Otin/Ifelodun/Boripe, Osun State",,,
Q35536199,AJIBOLA FAMUREWA,Q4729266,All Progressives Congress,,"Atakunmosa East/ Atakunmosa West/Ilesha East/, Osun State",,,
Q35538891,AKINJO VICTOR,Q1551163,Peoples Democratic Party,,"Eseodo/Ilaje, Ondo State",,,
Q35537233,AKINLAJA JOSEPH,Q1551163,Peoples Democratic Party,,"Ondo East/Ondo West, Ondo State",,,male
Q35539944,AKINLOYE BABAJIDE,Q4729266,All Progressives Congress,,"Eti-Osa, Lagos State",,,
Q35538581,AKINTOLA TAIWO,Q4729266,All Progressives Congress,,"Ona-Ara/Egbeda, Oyo State",,,
Q35539999,ALABI MOJEED,Q4729266,All Progressives Congress,,"Ede North,South/Egbedero/Ejigbo, Osun State",,,
Q35538787,ALAGBOSO JERRY,Q1551163,Peoples Democratic Party,,"Orlu/Oru East/Orsu, Imo State",,,male
Q35536386,ALBERT ADEOGUN,Q1551163,Peoples Democratic Party,,"Ife Central/East/North/South, Osun State",,,male
Q35536858,ALIYU AHMAN-PATEGI,Q4729266,All Progressives Congress,,"Edu/Moro/Patigi, Kwara State",,,
Q35536800,ALIYU DANLADI,Q4729266,All Progressives Congress,,"Zuru/Fakai/Sakaba/D/Wasagu, Kebbi State",,,
Q35537439,ALIYU MADAKI,Q4729266,All Progressives Congress,,"Dala, Kano State",,,male
Q35536888,AMINU ASHIRU,Q4729266,All Progressives Congress,,"Mani/Bindawa, Katsina State",,,
Q35539198,AMINU ISA,Q4729266,All Progressives Congress,,"Isa-Sabon-Birni, Sokoto State",,,
Q35540174,AMINU SHAGARI,Q4729266,All Progressives Congress,,"Shagari/Yabo, Sokoto State",,,
Q35539756,AMIRUDDIN TUKUR,Q4729266,All Progressives Congress,,"Bakori/Danja, Katsina State",,,male
Q35539127,ANAYO NNEBE,Q1551163,Peoples Democratic Party,,"Awka North/South, Anambra State",,,
Q35536761,ASABE BASHIR,Q4729266,All Progressives Congress,,"Damboa/Gwoza/Chibok, Borno State",,,female
Q35537324,ASADU PATRICK,Q1551163,Peoples Democratic Party,,"Nsukka/Igbo-Eze South, Enugu State",,,male
Q35539882,AWAJI-INOMBEK ABIANTE,Q1551163,Peoples Democratic Party,,"Andoni/Opobo/Nkoro, Rivers State",,,
Q35538667,AYEOLA ABAYOMI,Q4729266,All Progressives Congress,,"Ibeju-Lekki, Lagos State",,,
Q35539733,AYO OMIDIRAN,Q4729266,All Progressives Congress,,"Ayedaade/Irewole/Isokan, Osun State",,,female
Q35537883,AYUBA BADAMASI,Q4729266,All Progressives Congress,,"Dambatta/Makoda, Kano State",,,
Q35539162,AZUBOGU IFEANYI,Q1551163,Peoples Democratic Party,,"Nnewi North/South/Ekwusigo, Anambra State",,,
Q35538977,Abdullahi Garba,Q4729266,All Progressives Congress,,"Kontagora/Wushishi/Mariga/Masheg, Niger State",,,male
Q35537679,Abdullahi Mohammed,Q4729266,All Progressives Congress,,"Alabasu/Gaya/Ajingi, Kano State",,,
Q35537627,Abiodun Olasupo,Q4729266,All Progressives Congress,,"Iseyin/Itesiwaju/Kajola/Iwajowa, Oyo State",,,
Q35537416,Abubakar Adamu,Q4729266,All Progressives Congress,,"Shiroro/Rafi/Munya, Niger State",,,
Q35538265,Adabah Christian,Q1551163,Peoples Democratic Party,,"Ado/Obadigbo/Opkokwu, Benue State",,,
Q35537977,Adewale Oluwatayo,Q4729266,All Progressives Congress,,"Ifako-Ijaiye, Lagos State",,,
Q35538185,Agom Jarigbe,Q1551163,Peoples Democratic Party,,"Ogoja/Yala, Cross River State",,,
Q35537989,Akinyede Awodumila,Q1551163,Peoples Democratic Party,,"Emure/Gbonyin/Ekiti East, Ekiti State",,,
Q35539491,Ali Isa,Q1551163,Peoples Democratic Party,,"Balanga/Billiri, Gombe State",,,
Q35538626,Aliyu Muktar,Q4729266,All Progressives Congress,,"Biu/Bayo/Shani/Kwaya Kusar, Borno State",,,
Q35536262,Angulu Zakari,Q4729266,All Progressives Congress,,"Kuje/Abaji/Gwagwalada/Kwali, Federal Capital Territory State",,,
