@@,item,itemlabel,party,gender
->,Q29834852,Abdulrahman Shuaibu Abubakar->Shuaibu Abdulraman,Q4729266,male
->,Q23414656,Adekoya Adesegun Abdel-Majid->Adekoya Adesegun,Q1551163,male
->,Q35539699,Adekunle Abdulkabir Akinlade->Adekunle Akinlade,Q4729266,male
+++,Q35537951,Ado Alhassan,Q4729266,male
+++,Q35539999,Alabi Mojeed,Q4729266,
---,Q20740791,Alhassan Doguwa,Q4729266,male
->,Q4727557,Aliyu Musa->Shehu Musa,Q4729266,male
->,Q35539162,Azubago Ifeanyi->Azubogu Ifeanyi,Q1551163,
->,Q42563987,Barry Mpigi->Mpigi Barinada,Q4729266,male
->,Q20676550,Boniface S. Emerengwa->Emerengwa Boniface,Q1551163,male
->,Q35538337,Dapo Lam Adesina->Lam Adedapo,Q4729266,male
->,Q35537300,Dauda Kako Are,Q4672709,male
->,Q56229557,Dorathy Mato,NULL->Q4729266,female
->,Q5442793,Femi Gbaja Biamila->Olufemi Gbajabiamila,Q4729266,male
---,Q35539072,Hassan Saleh,Q1551163,male
->,Q35538057,Ibrahim Abdullahi Dutse->Ibrahim Abdullahi,Q4729266,male
->,Q25938875,Joan Onyemaechi Mrakpor->Joan Mrakpor,Q1551163,female
->,Q56229525,Joseph Bamgbose,NULL->Q4729266,male
->,Q26896971,Julius Gbabojor Pondi->Julius Pondi,Q1551163,male
->,Q18129932,Khadija Bukar Abba Ibrahim->Khadija Bukar .A.,Q4729266,female
---,Q111141568,Lawal Muhammadu Idirisu,Q4729266,
->,Q35538916,"Linus Okorie->Linus Okorie,Fca",Q1551163,
---,Q65929260,Mohammed Umar Bago,,male
---,Q27959962,Mojeed Alabi,Q4729266,male
->,Q35538097,Nasiru Baballe->Nasiru Ila,Q4729266,male
->,Q6967190,Nasiru Sule Garo->Nasiru Sule,Q4729266,male
---,Q29514826,Nkeiruka Onyejeocha,Q1551163,female
+++,Q35536271,Nnenna Elendu,Q1551163,female
---,Q16207418,Nnenna Elendu Ukeje,Q1551163,female
->,Q35538841,O. Pally Iriase->O.Pally Iriase,Q4729266,
->,Q30643909,Obinna Chidoka->Chidoka Obinna,NULL->Q1551163,male
->,Q28839608,Olatoye Tempitope Sugar->Temitope Olatoye,Q4729266,male
->,Q22279489,Omosede G. Igbinedion->Omosede Igbinedion,Q1551163,female
+++,Q35539083,Onyejeocha Nkeiruka,Q1551163,female
+++,Q35536692,Onyewuchi Ezenwa,Q4729271,
---,Q27662340,Onyewuchi Francis Ezenwa,Q4729271,male
->,Q35536670,Ossy Prestige->Prestige Ossy,Q4729271,male
->,Q28606434,Philip Shaibu,NULL->Q4729266,male
->,Q18618880,Usman Shehu Bawa->Usman Shehu,Q4729266,male
->,Q23304614,Yusuf Sulaimon Lasun->Yusuf Lasun,Q4729266,male
