item,itemLabel,startDate,endDate,constituencyLabel,party,partyLabel
Q35536670,Ossy Prestige,2019-06-11,2021-02-06,Aba North/Aba South,Q4729271,APGA
,Chimaobi Ebisike,2021-04-21,,Aba North/Aba South,Q1551163,PDP
Q35539294,Uko Nkole,2019-06-11,,Arochukwu/Ohafia,Q1551163,PDP
Q107062536,Benjamin Kalu,2019-06-11,,Bende,Q4729266,APC
,Darlington Nwokocha,2019-06-11,,Isiala Ngwa North/Isiala Ngwa South,Q1551163,PDP
Q29514826,Nkeiruka Onyejeocha,2019-06-11,,Isuikwuato/Umunneochi,Q4729266,APC
,Solomon Adaelu,2019-06-11,,Obingwa/Ugwunagbo/Osisioma,Q1551163,PDP
,Uzoma Nkem-Abonta,2019-06-11,,Ukwa East/West,Q1551163,PDP
,Samuel Onuigbo,2019-06-11,2020-12-17,Umuahia North/Umuahia South/Ikwuano,Q1551163,PDP
,Samuel Onuigbo,2020-12-17,,Umuahia North/Umuahia South/Ikwuano,Q4729266,APC
,Kwamoti Laori,2019-06-11,,Demsa/Numan/Lamurde,Q1551163,PDP
,Mustafa Muhammad Saidu,2019-06-11,,Fufore/Song,Q1551163,PDP
,Yusuf Buba Yakub,2019-06-11,,Gombi/Hong,Q4729266,APC
,Gibeon Goroki,2019-06-11,,Guyuk/Shelleng,Q1551163,PDP
,Zakaria Dauda Nyampa,2019-06-11,,Madagali/Michika,Q1551163,PDP
,Ja'afar Abubakar Magaji,2019-06-11,,Maiha/Mubi North/Mubi South,Q4729266,APC
Q35538173,Abdulrazak Namdas,2019-06-11,,Mayo Belwa/Toungo/Jada/Ganye,Q4729266,APC
,Abdulrauf Abdulkadir Modibbo,2019-06-11,2019-06-30,Yola North/Yola South/Girei,Q4729266,APC
,Jafaru Suleiman Ribadu,2019-09-24,,Yola North/Yola South/Girei,Q1551163,PDP
,Aniekan Umanah,2019-06-11,,Abak/Etim Ekpo/Ika,Q1551163,PDP
,Patrick Ifon,2019-06-11,,Eket/Onna/Esit Eket/Ibeno,Q1551163,PDP
Q21063010,Onofiok Luke,2019-06-11,,Etinan/Nsit Ibom/Nsit Ubium,Q1551163,PDP
,Emmanuel Ukpong-udo,2019-06-11,,Ikono/Ini,Q1551163,PDP
,Francis Uduyok,2019-06-11,,Ikot Abasi/Mkpat Enin/Eastern Obolo,Q1551163,PDP
,Nsikak Ekong,2019-06-11,2019-11-09,Ikot Ekpene/Essien Udim/Obot Akara,Q1551163,PDP
,Nsikak Ekong,2020-01-30,,Ikot Ekpene/Essien Udim/Obot Akara,Q1551163,PDP
,Henry Archibong,2019-06-11,,Itu/Ibiono Ibom,Q1551163,PDP
Q28968008,Nse Ekpenyong,2019-06-11,2022-04-23,Oron/Mbo/Okobo/Udung Uko/Urue Offong/Oruko,Q1551163,PDP
Q71333232,Unyime Idem,2019-06-11,,Ukanafun/Oruk Anam,Q1551163,PDP
Q50219654,Michael Enyong,2019-06-11,,Uyo/Uruan/Nsit Atai/Ibesikpo Asutan,Q1551163,PDP
Q108028236,Chukwuma Michael Umeoji,2019-06-11,2021-10-30,Aguata,Q4729271,APGA
Q108028236,Chukwuma Michael Umeoji,2021-10-30,,Aguata,Q4729266,APC
,Chinedu Obidigwe,2019-06-11,,Anambra East/Anambra West,Q4729271,APGA
,Sam Onwuaso,2019-06-11,,Awka North/Awka South,Q1551163,PDP
,Ifeanyi Ibezi,2019-06-11,2019-10-29,Idemili North/Idemili South,Q4729271,APGA
Q30643909,Obinna Chidoka,2019-11-19,,Idemili North/Idemili South,Q1551163,PDP
Q77224538,Ifeanyi Chudy Momah,2019-06-11,,Ihiala,Q4729271,APGA
,Valentine Ayika,2019-06-11,2019-11-02,Njikoka/Dunukofia/Anaocha,Q1551163,PDP
,Dozie Nwankwo,2019-11-21,,Njikoka/Dunukofia/Anaocha,Q4729271,APGA
,Chris Emeka Azubogu,2019-06-11,2021-09-30,Nnewi North/Nnewi South/Ekwusigo,Q1551163,PDP
,Chris Emeka Azubogu,2021-09-30,2022-03-10,Nnewi North/Nnewi South/Ekwusigo,Q4729266,APC
,Chris Emeka Azubogu,2022-03-10,,Nnewi North/Nnewi South/Ekwusigo,Q4729271,APGA
,Chukwuka Onyema,2019-06-11,,Ogbaru,Q1551163,PDP
Q6708540,Lynda Chuba Ikpeazu,2019-06-11,2021-09-30,Onitsha North/Onitsha South,Q1551163,PDP
Q6708540,Lynda Chuba Ikpeazu,2021-09-30,2022-03,Onitsha North/Onitsha South,Q4729266,APC
Q6708540,Lynda Chuba Ikpeazu,2022-03,,Onitsha North/Onitsha South,Q1551163,PDP
,Okwudili Ezenwankwo,2019-06-11,2021-09,Orumba North/Orumba South,Q4729271,APGA
,Okwudili Ezenwankwo,2021-09,,Orumba North/Orumba South,Q4729266,APC
,Vincent Ofumelu,2019-06-11,2021-09-30,Oyi/Ayamelum,Q1551163,PDP
,Vincent Ofumelu,2021-09-30,2022-04,Oyi/Ayamelum,Q4729266,APC
,Vincent Ofumelu,2022-04,,Oyi/Ayamelum,Q1551163,PDP
,Musa Muhammad Pali,2019-06-11,,Alkaleri/Kirfi,Q4729266,APC
,Yakubu Shehu Abdullahi,2019-06-11,2021-02-16,Bauchi,Q7165739,PRP
,Yakubu Shehu Abdullahi,2021-02-16,,Bauchi,Q4729266,APC
,Mansur Manu Soro,2019-06-11,2022-03-20,Darazo/Ganjuwa,Q4729266,APC
,Mansur Manu Soro,2022-03-20,,Darazo/Ganjuwa,Q1551163,PDP
