item,itemLabel,start,end,psid
Q10951112,Joseph Olatunji Ajayi,1999,2003,Q10951112-33D0AC19-ED6A-4690-B008-0356123FA43A
Q111148699,Etura Ezekiel,1999,2003,Q111148699-30DA2695-0936-4B70-BB07-9534843A3CD9
Q111149288,Aruwa Muktar Ahmed M. Perez,1999,2003,Q111149288-E0247768-9D34-491E-BACB-C9822A01B07A
Q111149676,Abdul Yandomah,1999,2003,Q111149676-7279AB01-22F5-489E-94A0-A3E5EA9B9FA4
Q111150041,Suleiman Makanjuola Ajadi,1999,2003,Q111150041-730D0D49-CE48-4309-8DAD-1FE59303430F
Q111152093,Lekan Balogun,1999,2003,Q111152093-F13D5844-8BE7-4D24-9749-6CB0ED068738
Q13140666,Haruna Abubakar,1999,2003,Q13140666-A4A19036-FD14-4F9E-BCC9-EC65D56B0D2B
Q13140681,Ibiapuye Martyns-Yellowe,1999,2003,Q13140681-C98DFC04-7869-4DF7-8FFF-BE6829A7E874
Q13140687,Ike Ekweremadu,2003-05,,Q13140687-9B6E19EB-FBDA-4A79-925C-35943E1448FD
Q13140761,Nnamdi Eriobuna,1999,2003,Q13140761-F19C5F0F-C9C0-40C4-8910-1095BF270C00
Q13140820,Peter Olawuyi,1999,2003,Q13140820-855DB10A-6701-4DC3-BE32-5B059910A82F
Q13140849,Silas Janfa,1999-05,2003-05,Q13140849-B6F676CE-2445-4729-B417-3DCF7476D26B
Q13140868,Tokunbo Afikuyomi,1999-05,2007-05,Q13140868-D38EE8F7-4806-4411-914E-7A3524D80820
Q13140874,Tupele-Ebi Diffa,1999-05-29,2003-05-29,Q13140874-73FB4C8A-BA1C-4242-BEDE-3DB81F520014
Q13140890,Wahab Dosunmu,1999,2003,Q13140890-88DD68F6-D8C6-4264-8D6D-6D99733D91BA
Q16150077,Kanu Godwin Agabi,1999,2003,Q16150077-c82a4944-492a-21de-9a05-21c891a2df38
Q20604108,Ahmed Zuruq,1999-05-29,2003-05-29,Q20604108-9D4D4D1D-344B-4472-BEEA-E8E3CB0D7419
Q2967578,Chuba Okadigbo,1999,2003,Q2967578-7FB1887F-3C8E-403B-BD36-DC2C0119184C
Q30104797,Alex Usman Kadiri,1999,2003,Q30104797-EF0D590F-DFCF-4B17-8389-DA8541304271
Q3381247,Ike Nwachukwu,1999-05,2003-05,Q3381247-5E3C89C6-318A-4FC2-A0AD-51696B955DCC
Q3511417,Iya Abubakar,1999-05,2007-05,Q3511417-E38AB505-7B4E-4070-9C39-1E33E5CED19C
Q459205,David Mark,1999,2019,Q459205-78928A87-3E82-4352-8E11-A842A2FA18FC
Q4664673,Abdallah Wali,1999,2003,Q4664673-7B0B6136-B8EB-4F6A-A85B-3ACB5864D66C
Q4665773,Abdulahi Bala Adamu,1999-05,2003-05,Q4665773-3361423E-12BF-412D-8225-5C46AC3AF811
Q4665788,Abdulazeez Ibrahim,1999-05,2007-05,Q4665788-DD877595-6405-474C-9DCA-204081C52E5C
Q4670486,Abubakar Girei,1999-05-29,2003-05-29,Q4670486-B993AEBC-04B8-4110-B38D-672262831AD5
Q4680074,Adebayo Salami,1999-05,2003-05,Q4680074-81C8648A-93F5-4486-95C5-A373C47D3753
Q4680928,Adawari Pepple,1999,2003,Q4680928-738134F5-378D-4FCF-BA29-296C82939C65
Q4682371,Adeseye Ogunlewe,1999-04,2003-04,Q4682371-D7586919-80A9-42C9-878D-EAA61CDE0D0B
Q4684485,Adolphus Wabara,1999-05,2007-05,Q4684485-FB583F0F-DA40-4EAD-AC71-A3573549F8ED
Q4689299,Afolabi Olabimtan,1999,2003,Q4689299-44FD77C2-8E29-44D3-93F3-BFDB0A1A1423
Q4696044,Ahmed Tijani Ahmed,1999-05,2003-05,Q4696044-8FAE017E-0BFD-441B-94B4-04E3D6264C2F
Q4727549,Aliyu Abubakar,1999,2003,Q4727549-AF906FC2-D34F-44E2-9A77-059C9A8EC1F5
Q4799853,Arthur Nzeribe,1999,2003,Q4799853-38180ADC-DD6E-43E3-94A4-110785B488AA
Q4831545,Ayo Oni,1999,2003,Q4831545-440F638D-1B7F-4394-83E8-B1D9D8A30646
Q4884085,Bello Jibrin Gada,1999,2003,Q4884085-1C0F2BE5-7B9E-4AD9-963A-CE4D848227FE
Q4885148,Ben-Collins Ndu,2001-03,2003-05,Q4885148-13A48E2A-BF0B-4C77-B9F8-AF625DEC6852
Q4933535,Bob Nwannunu,1999-05-29,2003-05-29,Q4933535-AE592D54-CFCE-441A-A5E2-346A653B530F
Q4968131,Brimmo Yusuf,1999-05,2003-05,Q4968131-82F70E09-D92B-402B-BB2E-15A15E5D9E8E
Q5218701,Daniel Saror,1999-05,2007-05,Q5218701-0285AB87-6D59-498F-90E0-00CC7428A78E
Q5231744,David Brigidi,1999-05,2007-05,Q5231744-A10F7417-CD86-4005-A74E-352478CFA5CB
Q5242118,Davou Zang,1999-05-29,2003-06,Q5242118-837E61FB-BC1C-4885-9870-CBBEFEE0D349
Q5373222,Emmanuel Essien,1999,2003,Q5373222-D1CDAEC7-57A8-4483-A6E6-959AEE7ACA67
Q5415377,Evan Enwerem,1999,2003,Q5415377-D95C2B03-80D3-4150-89CC-024057895EEC
Q5442802,Femi Okurounmu,1999,2003,Q5442802-9C599FA8-4810-4037-9057-3841005E16DC
Q5460658,Florence Ita Giwa,1999-05-29,2003-06,Q5460658-DE0D142C-137A-417A-8E86-AA9B16B17AA6
Q5529329,Gbenga Aluko,1999,2003,Q5529329-956B7210-C369-4FA8-AEFF-4BBA062E3495
Q5529332,Gbenga Ogunniya,1999,2003,Q5529332-135B5BAD-BC37-43AE-896D-F1FBF1CC501E
Q5581828,Goni Modu Bura,1999,2003,Q5581828-F0E99F3D-56D1-4CC7-B82D-3D0F0B1F3B78
Q5953576,Hyde Onuaguluchi,1999,2003,Q5953576-ECC2AE2E-6C6C-4A3B-9367-71AA901E7315
Q5989581,Idris Abubakar,1999,2003,Q5989581-E8169434-795C-495A-ABDA-7C0B582EFC50
Q5991127,Ifeanyi Ararume,1999,2003,Q5991127-3CC0BDFC-4BC9-45B3-B0D7-6B8817434ECB
Q6219847,John Azuta-Mbata,1999,2003,Q6219847-481CCCA0-846A-4F48-A385-6ED84495BBA6
Q6241500,John James Akpan Udo-Edehe,1999,2003,Q6241500-0ACFB0C0-787D-4E18-AACD-3B97D85B0E51
