item,itemLabel,startDate,endDate,psid
Q108901870,Faruk Yahaya,2021-05-27,,Q108901870-B2A387E5-1484-4505-8457-2842C7AFB872
Q20675806,Abdulrahman Bello Dambazau,2008,2010,Q20675806-B325A4CA-27DD-40B8-AE64-588193850E68
Q207942,Sani Abacha,1985-08,1990-08,Q207942-ECC92628-F903-4C27-BBDE-15D366B3739F
Q20794864,Tukur Yusuf Buratai,2015-07-13,2021-01-26,Q20794864-6f08e833-491c-971b-fb00-cfe24fe847a3
Q333415,Ibrahim Babangida,1984-01,1985-08,Q333415-D3D77E5C-4188-4256-A5F3-8F3E6DD503FC
Q354695,Yakubu Gowon,1966-01,1966-07,Q354695-3D47F258-AA4A-4A4B-B626-4E0EBEF562DF
Q7782290,Theophilus Danjuma,1975-07,1980-04,Q7782290-8771B615-32F4-40EF-B13F-651AD945B626
