item,itemLabel,start,end,psid
Q10998235,Abubakar Atiku Bagudu,2007-06-05,2011-06-06,Q10998235-16F8647F-B924-446D-A570-B9A30D63667A
Q13140667,Heineken Lokpobiri,2007-06-05,2011-06-06,Q13140667-6F2DD228-A1CD-4454-9B5E-211A940E2DE9
Q13140669,Hosea Ehinlanwo,2007-06-05,2011-06-06,Q13140669-5E0841C8-6E06-4C41-B2D4-4F8C749B1C60
Q13140687,Ike Ekweremadu,2003-05,,Q13140687-9B6E19EB-FBDA-4A79-925C-35943E1448FD
Q13140688,Ikechukwu Obiorah,2007-06-05,2011-06-06,Q13140688-E7592B62-00D3-46EB-A72C-11859FFFADDC
Q13140704,Iyabo Obasanjo-Bello,2007-06-05,2011-06-06,Q13140704-6C4FE049-37E1-4E10-A8E3-0C6085346E0D
Q13140705,Iyiola Omisore,2007-06-05,2011-06-06,Q13140705-C9E03949-5056-49B6-AD42-EBA50EC6E6B0
Q13140747,Mohammed A. Muhammed,2007-06-05,2011-06-06,Q13140747-51BE6F3A-9D00-4060-8C72-44D5532DFA5E
Q13140760,Nimi Barigha-Amange,2007-06-05,2011-06-06,Q13140760-97453E6B-A371-42ED-88C3-690042C6DD27
Q13140828,Ramoni Olalekan Mustapha,2007-06-05,2011-06-06,Q13140828-CDD0E027-A914-47BF-B547-6C92FB41E0D0
Q13140852,Sola Akinyede,2007-06-05,2011-06-06,Q13140852-42677600-CC4F-489D-A404-1B2402B58292
Q1945914,Chris Anyanwu,2007-06-05,2011-06-06,Q1945914-1363A381-E052-4D12-ACF0-E0FFD216CE74
Q339008,Ahmed Makarfi,2007-06-05,2011-06-06,Q339008-A2662C15-F8BE-4541-8986-D95D68B1135C
Q3509330,Ibrahim Saminu Turaki,2007-06-05,2011-06-06,Q3509330-2C98380C-C527-4EA9-9DF3-FB987D56F85C
Q3510270,Uche Chukwumerije,2007-06-05,2011-06-06,Q3510270-973329A4-6028-48B7-8C61-8A4ED500AE72
Q3510712,Adamu Aliero,2007-06-05,2011-06-06,Q3510712-A4FCB8E8-7A45-4682-9B1D-8263D00E6C19
Q3510720,Ahmad Sani Yerima,2007-06-05,2011-06-06,Q3510720-37AE2DD3-2BE4-459D-B43E-666DABB8646F
Q3510803,George Akume,2007-06-05,2011-06-06,Q3510803-28408C4B-C968-4377-BD0B-2849342AA765
Q3510881,Chimaroke Nnamani,2007-06-05,2011-06-06,Q3510881-B8147FBB-331D-43FF-BAFE-C2E0986AA366
Q378378,Victor Ndoma-Egba,2007-06-05,2011-06-06,Q378378-8BF903C5-CA20-4C33-AB1A-51A3A5DE79BE
Q459205,David Mark,1999,2019,Q459205-78928A87-3E82-4352-8E11-A842A2FA18FC
Q4665816,Abdulaziz Usman,2007-06-05,2011-06-06,Q4665816-B1250613-25A6-45BE-8AE7-FD6CDC62752E
Q4670503,Abubakar Sodangi,2007-06-05,2011-06-06,Q4670503-6B5C0A62-4E1B-4B51-AA3D-5D2CABB8F3E7
Q4670506,Abubakar Tanko Ayuba,2007-06-05,2011-06-06,Q4670506-5F0EF55C-274D-4ED5-834A-4AF56F6C2525
Q4670507,Abubakar Umar Gada,2007-06-05,2011-06-06,Q4670507-24C112C0-A3E6-46B5-BFF3-9F700B0B2590
Q4680542,Adamu Garba Talba,2007-06-05,2011-06-06,Q4680542-1B62B0D3-96C7-4673-9C9B-562912518877
Q4680546,Adamu Sidi Ali,2007-06-05,2011-06-06,Q4680546-F8A72836-AAEB-4F8B-A4B8-BEE8863DA5BF
Q4681508,Adefemi Kila,2007-06-05,2011-06-06,Q4681508-0A6A5A53-5798-4600-84B6-47DA74A74BAF
Q4681514,Adego Erhiawarie Eferakeya,2007-06-05,2011-06-06,Q4681514-30B9B16F-84C4-4832-8570-5FFF309BEEF4
Q4681916,Adeleke Mamora,2007-06-05,2011-06-06,Q4681916-DDF11320-A4FA-4E3D-A0F8-3EB5B844E207
Q4695864,Ahmed Lawan,2007-06-05,2011-06-06,Q4695864-64CC7885-69CA-4AA2-BA29-E23185037BC6
Q4695931,Ahmed Mohammed Inuwa,2007-06-05,2011-06-06,Q4695931-FB6A208D-575D-492E-ACA1-F124D4B13C94
Q4695944,Ahmed Muhammad Maccido,2007-06-05,2011-06-06,Q4695944-CDF9C915-AE2F-47C0-9ED6-EE0FB33F6DD7
Q4734691,Aloysius Akpan Etok,2007-06-05,2011-06-06,Q4734691-90B6E1EE-50A7-4508-A996-A73D3D28510A
Q4735427,Alphonsus Obi Igbeke,2007-06-05,2011-06-06,Q4735427-60C26367-577B-4416-848C-2C3486970B66
Q4746481,Aminu Sule Garo,2007-06-05,2011-06-06,Q4746481-49F83C82-FD1D-4237-BBC8-13C414657AE8
Q4756255,Andrew Babalola,2007-06-05,2011-06-06,Q4756255-62C81ADD-354C-41E9-8B96-3530177C1B42
Q4769401,Annie Okonkwo,2007-06-05,2011-06-06,Q4769401-18F9A028-FF29-4CEE-9CE5-F1E954C82ACA
Q4771979,Anthony Agbo,2007-06-05,2011-06-06,Q4771979-57228A88-704F-492F-A86A-C270FA67C583
Q4772581,Anthony George Manzo,2007-06-05,2011-06-06,Q4772581-06D4690C-F4B0-4738-8EFE-58D1F62CC2C6
Q4778249,Anyimchukwu Ude,2007-06-05,2011-06-06,Q4778249-8833707B-5730-484E-92FE-7BF97F1657D8
Q4820221,Audu Idris Umar,2007-06-05,2011-06-06,Q4820221-B792D2AD-15EF-4D63-8082-6968F7781915
Q4831565,Ayogu Eze,2007-06-05,2011-06-06,Q4831565-A55FE0E0-694C-4FA2-81D2-C59957F15149
Q4849691,Bala Mohammed,2007-04-08,2010-04-08,Q4849691-0789E670-3EA0-4F55-831C-08B7941C3B66
Q4868127,Bassey Ewa-Henshaw,2007-06-05,2011-06-06,Q4868127-8479F9C5-D158-45F8-9E98-836149908454
Q4884084,Bello Hayatu Gwarzo,2007-06-05,2011-06-06,Q4884084-D00A6C3C-116B-4D4D-B655-EF626244D963
Q4936432,Bode Olajumoke,2007-06-05,2011-06-06,Q4936432-B7574361-E8D2-45DB-9621-22A5CCFD03EF
Q4986810,Bukar Ibrahim,2007-06-05,2011-06-06,Q4986810-CCD908D2-5BB5-4840-AD45-88B5CFF2A4B7
Q5019332,Caleb Zagi,2007-06-05,2011-06-06,Q5019332-78C53F41-194E-4280-A30B-0C8F1938B607
Q5208840,Dahiru Awaisu Kuta,2007-06-05,2011-06-06,Q5208840-4FE525C6-1DD7-4C59-9805-7513B1801880
Q5208841,Dahiru Bako Gassol,2007-06-05,2011-06-06,Q5208841-E188B2F1-1918-44F1-87A4-ADE9CA39C30A
Q5347498,Effiong Dickson Bob,2007-06-05,2011-06-06,Q5347498-F9916B05-6585-4434-A9D3-32E06A279933
