item,itemLabel,startDate,endDate,psid
Q11880729,Mamman Jiya Vatsa,1984,1985-12,Q11880729-18752a07-4322-6dab-43fe-5775c5097fc3
Q21598122,Haliru Dantoro,1983,1984,Q21598122-3d8e28f8-4ec0-f5ac-a3a2-6f65c8fbe4f8
Q3510712,Adamu Aliero,2008-12-17,2010-04-08,Q3510712-1159fe7f-40ea-5ec9-cad9-a165df66ca5d
Q379530,Jeremiah Useni,1993,1998,Q379530-bf7e9e4b-4cf5-db0f-d3e0-33a65e6e6139
Q4727559,Aliyu Modibbo Umar,2007-07-27,2008-10-29,Q4727559-7b4f8dac-4b85-e6b3-f4de-bbd69882dec3
Q4849691,Bala Mohammed,2010-04-08,2015-05-29,Q4849691-3de8bc15-4bec-6f8f-cdd2-2a22b137af7e
Q5516410,Gado Nasko,1989,1993,Q5516410-BD80D27E-56A3-462D-8E13-EFF28D88F468
Q5646492,Hamza Abdullahi,1986,1989,Q5646492-244392ad-4a3c-06c9-5793-98767101c441
Q59829052,Mohammed Musa Bello,2015-05-29,,Q59829052-8AE8B3EE-5D26-47DA-A15B-BC787A99B9FC
Q5984501,Ibrahim Bunu,1999,2001-02-08,Q5984501-df533d7f-4508-ad25-629a-9fc445a73fce
Q6082944,Nasir Ahmad el-Rufai,2003-07-17,2007-07-27,Q6082944-3e8e218d-4bc1-2013-4048-a798aa0dd564
Q6745775,Mamman Kontagora,1998,1999,Q6745775-bfac378f-4b47-991e-ca0a-716dde4fed4b
Q6892827,Mohammed Abba Gana,2001-02-08,2003-07-17,Q6892827-c2939481-40c5-7d70-ba86-628cbbbd13cc
Q98554478,Iro Abubakar Dan Musa,1982,1983,Q98554478-56da7e33-4dcf-3c77-c3be-7b8badcfa175
Q98554613,John Jatau Kadiya,1979,1982,Q98554613-825797f3-4f84-5e39-660c-4581b4f86da9
Q98554774,Mobolaji Ajose-Adeogun,1976,1979,Q98554774-9be333b5-4143-40de-1b29-d521b4b2d4f1
