item,itemLabel,startDate,endDate
Q4727556,A.G Mohammed,1985-01,1985-08
Q21004758,Haliru Akilu,1985-08,1986-07
Q4837544,Babatunde Elegbede,1986-07,1990-01
Q21004758,Haliru Akilu,1990-01,1990-09
,Idi Musa,1990-09,1991-12
,Ibrahim Dahiru Gumel,1991-12,1995-03
,Idi Musa,1995-03,1999-07
,Joseph Ajayi,1999-07,2005-09
,A.M. Halidu-Giwa,2005-12,2007-08
Q6893298,Mohammed Said,2005-12,2007-08
Q21063459,Babagana Monguno,2009-07,2011-09
,Sani Yakubu Audu,2011-09,2014-02
,Gabriel Okoi,2014-02,2015-07
Q21063488,Monday Riku Morgan,2015-07,2016-01
,John Saduana Davies,2016-01,2016-07
,Mohammed Saliu Usman,2016-07,
