item,name,party,constituency,startDate,endDate,gender,psid
Q101244291,Zainab Gimba,APC,Bama/Ngala/Kala-Balge,2019-06-11,,female,Q101244291-018CCE0B-64F1-4D64-8667-DC17E0EAFE77
Q102187913,Miriam Onuoha,APC,Isiala Mbano/Okigwe/Onuimo,2020-01-29,,female,Q102187913-EE61EED1-4793-4D85-9085-69D332749946
Q102199040,Blessing Onyeche Onuh,APC,Otukpo/Ohimini,2020-12-08,,female,Q102199040-64A8B031-2727-4261-A7A7-F0B380AA8912
Q102228500,Tolulope Tiwalola Akande-sadipe,APC,Oluyole,2019-06-11,,female,Q102228500-BBB321D8-B045-42C3-9BC2-6658FB7905EB
Q102229778,Ogunlola Omowumi Olubunmi,APC,Ijero/Ekiti West/Efon,2019-06-11,,female,Q102229778-B50A1335-386B-497E-A82B-A2D163AFBD93
Q104479987,Abdullahi Gaya Mahmud,APC,Alabasu/Gaya/Ajingi,2019-06-11,,male,Q104479987-76E21EC2-85AA-4035-BB65-C943C85B0304
Q104521800,Abdulsalam Gambo Mubarak,APC,Bali/Gassol,2019-07-16,,male,Q104521800-7D1B36B9-3321-490F-94FC-F0187CA4353B
Q104525030,Abubakar Kabir Abubakar,APC,Bichi,2019-06-11,,male,Q104525030-6191D039-B76F-4BAC-AF4F-7934CAB79348
Q104530957,Abubakar Yahaya Kusada,APC,Ingawa/Kankia/Kusada,2019-06-11,,male,Q104530957-FC29973D-DDF8-45FA-9F9E-79CA9EE95D28
Q104530981,Adaramodu Adeyemi Raphael,APC,,2019-06-11,,male,Q104530981-602C19D3-E55B-40C5-B13B-480AEDCF1FE2
Q104531081,Adebayo Olusegun Balogun,APC,,2019-06-11,,male,Q104531081-19F926D0-3643-45CB-8B79-51BF46B7ABA2
Q104531225,Abass Adekunle Adigun,PDP,Ibadan North East/Ibadan South East,2019-06-11,,male,Q104531225-9C93C173-2F78-4976-81E5-21AC21462A27
Q104531233,Zayyad Ibrahim,APC,Igabi,2019-07-03,,male,Q104531233-1EEC13AE-5FA6-470A-A29E-C3FF320566B7
Q105393512,Abdulraheem Olatunji Olawuyi,APC,,2019-06-11,,male,Q105393512-BDABB97B-3A73-485F-810D-66FCC69A517A
Q105445777,Kabiru Alhassan Usman rurum,APC,Rano/Bunkure/Kibiya,2019-06-11,,male,Q105445777-7BAB122F-7BAE-4F57-AE1A-14F580327626
Q105783149,Gagdi Adamu Yusuf,PDP,Kanke/Pankshin/Kanam,2019-06-11,,male,Q105783149-5A1E286D-4991-4987-B7F7-8CC691EECEB6
Q105981510,Olubunmi Nil Tunji-ojo,APC,Akoko North East/Akoko North West,2019-06-11,,male,Q105981510-67AA1A2B-7F2E-4709-A50E-A487807A3FA8
Q106653074,Sha aban Ibrahim Sharada,APC,,2019-06-11,,male,Q106653074-6C297570-8DF7-40B2-89A5-BDAE0BD035F0
Q107001123,Zakariya'u Mohammed Galadima,APC,Bade/Jakusko,2019-06-11,,male,Q107001123-3ECDCBF5-E907-40FE-90E9-FBBCCEC940CA
Q107062536,Benjamin Okezie Kalu,APC,Bende,2019-06-11,,male,Q107062536-607049B7-9CC6-4A7C-BC21-EC3A55D95B8C
Q107185292,Simon Elisha Karu,APC,Kaltungo/Shongom,2019-06-11,,male,Q107185292-0518FCCD-C466-4C5E-B09B-4B583F67A6BF
Q107337717,Uchechukwu Nnam-obi,PDP,Ahoada West/Ogba Egbema,2019-06-11,,male,Q107337717-736E73B6-1CB5-4EC9-866A-AC2D0B0D2C8E
Q107528203,Dachung Musa Bagos,PDP,Jos South/Jos East,2019-06-11,,male,Q107528203-F3DEB3D5-2654-4FE5-A997-463639609A73
Q107596091,Ali Ibrahim Abdullahi,APC,Ankpa/Omala/Olamaboro,2019-06-11,,male,Q107596091-EC0893EE-1145-403C-A352-9D65BFCF6255
Q107598261,Joe Eghoghon Edionwele,PDP,Esan Central/Esan South/Igueben,2019-06-11,,male,Q107598261-99BEFCF0-526C-49E3-B381-20E21401EA36
Q107598364,Solomon T Bob,PDP,,2019-06-11,,male,Q107598364-E2249F78-72CF-41F3-AECD-E9A93796204B
Q107709606,Tajudeen Ayo Yusuf,PDP,,2019-06-11,,male,Q107709606-E03AC8D1-20D3-4E1D-B78D-ED9B5CFB890B
Q108028236,Chukwuma Micheal Umeoji,APC,,2021-10-30,,male,Q108028236-D89F5A7E-D97C-4A27-AFEE-E22EE313B6BB
Q108753199,Satomi Alhaji ahmad,APC,Jere,2019-06-11,,male,Q108753199-77919C52-2B90-49DD-A47A-D83BBF013FB8
Q109561665,Balarabe Shehu Kakale,PDP,,2019-11-26,,male,Q109561665-D26A70F9-E959-4C1F-9881-4CC68E84601C
Q110043380,Iduma Enwo Igariwey,PDP,Afikpo North/Afikpo South,2019-06-11,,male,Q110043380-AACEF0F1-F944-44A3-894E-2E744244B85E
Q111141384,Abdulganiyu Saka Cook olododo,APC,Ilorin East/Ilorin South,2019-06-11,,,Q111141384-943C7803-B03D-47E8-BC79-A4458A0BE8A4
Q111141422,Abdulkadir Rahis,APC,Maiduguri (Metropolitan),2019-06-11,,,Q111141422-981E609F-0589-41F2-90FF-0EBDBE39E5FC
Q111141429,Abdulkareem Usman Isah,APC,,2019-06-11,,,Q111141429-F05BDF06-3428-46EA-904E-4A959AD3D4EF
