item,itemLabel,startDate,endDate,sourceDate,psid
Q18353733,Salisu Buhari,1999,2000,,Q18353733-80ACAA71-978C-40C5-A60F-26ED23E72092
Q5555270,Ghali Umar Na'Abba,2000,2003,,Q5555270-A5A95EF2-1EB9-4C7E-B7A9-4C9C4C4E0670
Q18098561,Aminu Bello Masari,2003,2007,,Q18098561-7ACEE375-8AD0-45BA-AEDA-8BEF91BBFCD4
Q7145570,Patricia Etteh,2007-06-06,2007-10-30,,Q7145570-5DC6E40A-4195-4AFF-82F0-820EB8483EA6
Q1225695,Dimeji Bankole,2007-11-01,2011-05-29,,Q1225695-2EF1FE7A-A623-4272-B964-28C6971BC296
Q4746479,Aminu Waziri Tambuwal,2011-06,2015-06,,Q4746479-BAA184DC-0BDF-4491-B903-D06288A8E23D
Q19957516,Dogara Yakubu,2015,2019,,Q19957516-5E3C7951-3492-400F-90D2-DED0E48DD26C
Q5442793,Femi Gbaja Biamila,2019-06-12,,,Q5442793-971280D3-45E1-4096-8E68-65BA567E4EA6
