item,name,party,constituency,startDate,endDate,gender,psid
Q3511513,Robert Ajayi Boroffice,,,2019-06-11,,male,Q3511513-46D97F51-19B5-4986-89D5-48D4DCE0CCCD
Q35536657,Betty Apiafi,,,2019-06-11,,female,Q35536657-ECE6637A-1EAA-46C8-901A-8903DD0E0147
Q35536955,Gumau Yahaya,,,2019-06-11,,male,Q35536955-55CE2F17-AB6D-4FEF-B895-02EE38F04386
Q35538185,Agom Jarigbe,,,2021-09-15,,male,Q35538185-4296A364-DBB4-4BCB-84E5-996F18735807
Q35540252,Istifanus Gyang,,,2019-06-11,,male,Q35540252-B7DAF81D-5FED-494E-9035-6A651D354F29
Q41693557,Jibrin I Barau,,,2019-06-11,,male,Q41693557-F5759AED-C157-40B0-9F74-5A8DFE71C934
Q42563987,Barry Mpigi,,,2019-06-11,,male,Q42563987-C0103483-4A85-4B58-B726-C9B630E50C34
Q4666120,Abdullahi Adamu,,,2011-06-06,,male,Q4666120-C76BBF2E-0DAE-4C46-BA4D-9156ECF9BF5C
Q4666129,Abdullahi Ibrahim Gobir,,,2019-06-11,,male,Q4666129-067AAF61-5293-4340-97FF-4B6623EF5EA8
Q4695272,Ahmad Babba Kaita,,,2019-06-11,,male,Q4695272-F49F678A-9088-4A14-B667-E0FE00119CD1
Q4695864,Ahmed Lawan,,,2019-06-11,,male,Q4695864-1623153A-AABA-484D-81A6-58A02C92D097
Q4701094,Akinyelure Patrick Ayo,,,2019-06-11,,male,Q4701094-E8A0FFD1-8AF7-410A-A9F6-65D72BC4BBEB
Q4727555,Aliyu Magatakarda Wamakko,,,2019-06-11,,male,Q4727555-04BBF49E-FBCF-41F3-91A9-E1340591677E
Q50526702,Abiodun Olujimi,,,2019,,female,Q50526702-bda8c3e9-bbb0-411c-84ef-3ac71c2c2e30
Q5219980,Danladi Abdullahi Sankara,,,2019-06-11,,male,Q5219980-3E94AD06-A5A8-4A08-8AE8-617602E8130F
Q52274670,Clifford Ordia,,,2019-06-11,,male,Q52274670-00F214F4-C3AB-4F45-8827-94869F39298B
Q5373159,Emmanuel Bwacha,,,2019-06-11,,male,Q5373159-CC5B4504-DA79-46EA-832A-079007B48987
Q5381464,Enyinnaya Abaribe,,,2019-06-11,,male,Q5381464-5A3D3967-646B-46EF-B4E4-2C03126CEDBA
Q55080914,Ovie Omo-Agege,,Delta Central,2015-06-09,,male,Q55080914-B81BC681-9B0D-4E18-A101-6FD62B83301B
Q5515869,Gabriel Suswam,,,2019-06-11,,male,Q5515869-D0C69E65-E26F-4EA9-8903-BD25F190C78F
Q5545186,George Thompson Sekibo,,,2019-06-11,,male,Q5545186-2EE1777F-E53A-48D9-9E37-4F2B77430402
Q5679766,Hassan Muhammed Gusau,,,2019-06-11,,male,Q5679766-1F0FCFB4-C651-4191-A62C-FC60EF5FF8C8
Q5720323,Seriake Dickson,,,2019-06-11,,male,Q5720323-F67A87D3-A0AE-4091-B2CD-6DF84E89CBC0
Q5984059,Ibikunle Amosun,,,2019-06-11,,male,Q5984059-643762EA-4A1B-426A-BBE8-413BAC458657
Q5984545,Ibrahim Gaidam,,,2019-06-11,,male,Q5984545-5B63D69B-DE45-4029-9B7E-6C31322F5147
Q6138857,James Manager,,,2019-06-11,,male,Q6138857-C031A2FF-295C-4F9E-9DA7-57D5790029FE
Q61594827,Ajibola Bashiru,,,2019-06-11,,male,Q61594827-DE3A26B1-1266-4A23-9135-551094D1F947
Q61756840,Bala Ibn Naallah,,,2019-06-11,,male,Q61756840-4F764BA4-6527-48AC-AA27-B41D7DCBAAD2
Q62036544,Tolu Odebiyi,,,2019-06-11,,male,Q62036544-12B6E8CD-08B7-4355-9BD2-94098840AEEC
Q62050387,Ibrahim Yahaya Oloriegbe,,,2019-06-11,,male,Q62050387-7399FE74-CC89-411F-B487-7206AD32CB70
Q62140847,Lola Ashiru,,,2019-06-11,,male,Q62140847-CCF62576-6BFE-4704-BB22-F32588A2005B
Q62604069,Uba Sani,,,2019-06-11,,male,Q62604069-E2A75521-5A60-4529-BD8D-4EE4ADC0F12D
Q62604235,Abdulfatai Buhari,,,2019-06-11,,male,Q62604235-4B3C5AC9-7CAC-4726-8973-D19FBD9A569F
Q62604245,Gershom Bassey,,,2019-06-11,,male,Q62604245-88233BF1-B864-4615-B5B9-4D837B138C0C
Q62733959,Peter Nwaoboshi,,,2019-06-11,,male,Q62733959-88C99744-21D8-4BC4-957A-E3CB57A3F506
Q62894523,Joseph Ogba,,,2019-06-11,,male,Q62894523-C555B266-4D51-4048-9D4A-4295C154865A
Q63016244,Bello Mandiya,,,2019-06-11,,male,Q63016244-771B2220-6D07-424F-A05A-629D3E5DFA57
Q63016717,Ibrahim Hassan Hadejia,,,2019-06-11,,male,Q63016717-F855AE04-60BA-44BF-8C89-B33A2A0EFB2E
Q63029332,Suleiman Abdu Kwari,,,2019-06-11,,male,Q63029332-2671B825-9BB6-4460-88FB-A725A6952AEB
Q63117844,Matthew Urhoghide,,,2019-06-11,,male,Q63117844-89B441E3-1CC5-4C09-A2A4-EB8232B94BDF
Q63142317,Utazi Chukwuka,,,2019-06-11,,male,Q63142317-BFF5C5CB-3048-4087-8430-5F8F46EB02BF
Q6344250,Kabiru Ibrahim Gaya,,,2019-06-11,,male,Q6344250-0166A25E-3EAF-4BBE-A459-ABD4BDBFEF59
Q6374297,Kashim Shettima,,,2019-06-11,,male,Q6374297-EE25A4B6-6135-42E7-89D3-39157AB59465
Q63819587,Sandy Ojang Onor,,,2019-06-11,,male,Q63819587-DDC71681-75F3-4D89-A527-258E7BC2EE2B
Q64744009,Ibrahim Mohammed Bomai,,,2019-06-11,,male,Q64744009-25A2F109-B3EE-4683-88D7-515358156610
Q64852980,Akon Eyakenyi,,,2019-06-11,,female,Q64852980-5A37C509-57BD-4874-99C7-7934ECAE1AAF
