@@,item,itemlabel
->,Q87147752,Yahaya Abubakar Abdullahi->Yahaya Abdullahi
->,Q7636116,Suleiman Adokwe->Suleiman Asonya Adokwe
->,Q7635965,Sulaiman Mohammed Nazif->Suleiman Nazif
->,Q7607111,Oduah Stella->Stella Oduah-Ogiemwonyi
->,Q63190460->NULL,Duro Faseyi
->,Q6271867,Jonah David Jang->Jonah Jang
->,Q62594993->NULL,Foster Ogola
->,Q61942446,Adebayo Rafiu Ibrahim->Rafiu Adebayo Ibrahim
->,Q61761286->NULL,Isah Misau
->,Q6080812,Isiaka Adetunji Adeleke->Isiaka Adeleke
->,Q5373159,Emmanuel Bwacha->Emmanuel G. Bwacha
->,Q5112997,Omoworare Babajide->Christopher Omoworare Babajide
->,Q50345435,Suleiman Othman Hunkuyi->Suleiman Hunkuyi
->,Q4727555,Aliyu Magatakarda Wamakko->Aliyu Wamakko
->,Q4695864,Ahmed Lawan->Ahmed Ibrahim Lawan
->,Q41693557,Jibrin I Barau->Jibrin Barau
->,Q35536955,Gumau Yahaya->Lawal Yahaya Gumau
->,Q3510720,Ahmad Sani Yerima->Ahmad Rufai Sani
->,Q28420151,Buruju Kashamu->Buruji Kashamu
->,Q24574659,John Owan Enoh->John Enoh
->,Q21063207,Dino Melaiye->Dino Melaye
->,Q20982202,Mao Arukwe Ohuabunwa->Mao Ohuabunwa
+++,,Tijjani Kaura
+++,,Mohammed Hassan
+++,,Abubakar Sani
+++,,Rilwan Adesoji Akanbi
+++,,Yele Omogunwa
+++,,Omotayo Donald
+++,,Joseph Dada
+++,,Aruwa Gyunka
+++,,Ahmed Ogembe
+++,,Atia Usman
+++,,Ahmed Ogembe
+++,,Mustapha Bukar
+++,,Senator Mohammed Sabo
+++,,Muhammad Shittu
+++,,Baba Garba
