wdid,name,wdLabel,source,sourceDate,pid,position,start,end,psid
Q101245550,Mohammed Hassan Abdullahi,Mohammed Hassan Abdullahi,,,Q109661479,Minister of Environment,2022-04-06,,Q101245550-58d4d5f6-46eb-3fc5-8fdd-70263bb277ce
Q101245550,Mohammed Hassan Abdullahi,Mohammed Hassan Abdullahi,,,Q111079664,"Minister of State for Science, Technology and Innovation",2019-08-21,2022-04-06,Q101245550-733EBC47-A79A-45D6-B4B6-D34AF0811AE1
Q101693651,Zubairu Dada,Zubairu Dada,https://en.wikipedia.org/wiki/Second_Cabinet_of_President_Muhammadu_Buhari,2022-05-26,Q109661385,Minister of State for Foreign Affairs,2021-08-21,,Q101693651-9E36CA15-D2F9-4086-8434-C96A85D80B46
Q107453260,Clement Agba,Clement Agba,https://en.wikipedia.org/wiki/Second_Cabinet_of_President_Muhammadu_Buhari,2022-05-26,Q108036022,Minister of State for Budget and National Planning,2021-08-21,,Q107453260-B1D6C7FF-81AF-4D6B-B06F-E59A84B87821
Q107491747,Omotayo Alasoadura,Omotayo Alasoadura,,,Q111079659,Minister of State for Niger Delta Affairs,2019-09-24,,Q107491747-85B1E13C-26E4-4D4D-87B2-17C0233695BE
Q107491747,Omotayo Alasoadura,Omotayo Alasoadura,,,Q111079660,Minister of State for Labour and Employment,2019-08-21,2019-09-24,Q107491747-CD63730A-0B57-4AC6-B2E1-25DDDAB59D12
Q108041810,Sabo Nanono,Sabo Nanono,,,Q109661491,Minister of Agriculture and Rural Development,2019-08-21,2021-09-01,Q108041810-6B8A6567-8373-4B92-B3D1-FD76D4DEB402
Q108704107,Mohammed Maigari Dingyadi,Mohammed Maigari Dingyadi,,,Q109661675,Minister of Police Affairs,2019-08-21,,Q108704107-AC25D2D5-19FC-44DD-9190-98CFFF4F2DC3
Q109252006,Muhammad Mahmood Abubakar,Muhammad Mahmood Abubakar,,,Q109661491,Minister of Agriculture and Rural Development,2021-09-01,,Q109252006-3281F3A6-8E4D-4516-BA70-74594651349D
Q109252006,Muhammad Mahmood Abubakar,Muhammad Mahmood Abubakar,,,Q109661479,Minister of Environment,2019-08-21,2021-09-10,Q109252006-D6F65446-F42D-4AAE-9D30-66ED4F2FC79C
Q109661629,Abubakar Aliyu,Abubakar D. Aliyu,https://en.wikipedia.org/wiki/Second_Cabinet_of_President_Muhammadu_Buhari,2022-05-26,Q108036501,Minister of Power,2021-09-01,,Q109661629-728a6cf9-496b-1412-cb89-9fee53b4f246
Q109661629,Abubakar D. Aliyu,Abubakar D. Aliyu,,,Q111079722,Minister of State for Works and Housing,2019-08-21,2021-09-01,Q109661629-7C429588-534C-49E6-86BD-7A6BCF1CD6D7
Q111079726,Mu'azu Sambo,Muazu Sambo,https://en.wikipedia.org/wiki/Second_Cabinet_of_President_Muhammadu_Buhari,2022-05-26,Q111079722,Minister of State for Works and Housing,2021-12-24,,Q111079726-0B79D64E-3587-44A5-ACB2-6BEC896851B0
Q13140763,Niyi Adebayo,Niyi Adebayo,,,Q109661459,"Minister of Industry, Trade and Investment",2019-08-21,,Q13140763-2B609A8D-8E5C-45E0-9414-9005F2CAF873
Q13655513,Ogbonnaya Onu,Ogbonnaya Onu,https://en.wikipedia.org/wiki/Second_Cabinet_of_President_Muhammadu_Buhari,2022-05-26,Q108035729,"Minister of Science, Technology and Innovation",2019-06-14,2022-05-11,Q13655513-FB4D5F51-1678-4BA8-98A5-A25D3597BF87
Q18355928,Uchechukwu Sampson Ogah,Uchechukwu Sampson Ogah,https://en.wikipedia.org/wiki/Second_Cabinet_of_President_Muhammadu_Buhari,2022-05-26,Q108037343,Minister of State for Mines and Steel Development,2019-08-21,,Q18355928-02793399-A192-4AE9-862E-D2771AF28D49
Q19561129,Lai Mohammed,Lai Mohammed,,,Q108037314,Minister of Information and Culture,2015-11-01,,Q19561129-2BD8EE78-6F31-4DAC-8CE2-C5FCCB35361B
