item,itemLabel,startDate,endDate,psid
Q16145904,Sarah Alade,2014-02-20,2014-06-03,Q16145904-5BFF8F0D-58B9-41A8-AA0A-939E1597830D
Q16728824,Godwin Emefiele,2014-06-03,,Q16728824-70922299-BDFC-4490-AD1F-B791AB2852B3
Q3511696,Charles Chukwuma Soludo,2004-05-29,2009-05-29,Q3511696-521C7864-8FB0-4E17-B5E8-2617CEBCAAC6
Q3791488,Sanusi Lamido Sanusi,2009-06-03,2014-02-20,Q3791488-4BB8085A-0792-4814-B236-55F0D06CC380
Q3914988,Adamu Ciroma,1975-09-24,1977-06-28,Q3914988-2CED09C4-3215-47BB-8037-0454D5171C6A
Q4665851,Abdulkadir Ahmed,1982-06-28,1993-09-30,Q4665851-76AAEF9C-0F5E-4423-9A97-D3B11630A258
Q4727552,Aliyu Mai-Bornu,1963-07-25,1967-06-22,Q4727552-B4328263-BF33-4110-936E-5CD28162F826
Q5131343,Clement Isong,1967-08-15,1975-09-22,Q5131343-303BA478-1A0C-456D-B574-3FA2C4B0C245
Q6285929,Joseph Oladele Sanusi,1999-05-29,2004-05-29,Q6285929-86B3B681-D035-4D47-8038-4BB19F8A1472
Q7082908,Ola Vincent,1977-06-28,1982-06-28,Q7082908-A2281F40-B132-4E66-A6E7-C64D42A76869
Q7149013,Paul Agbai Ogwuma,1993-10-01,1999-05-29,Q7149013-8B6F8716-A221-4B75-960E-1EDCE108B289
