@@,name,position
->,Sharon Ikeazor,Minister of State Environment->Minister of State for Niger Delta
->,Mu'azu Jaji Sambo,Minister of State for Works and Housing->Minister of Transportation
->,Gbemisola Saraki->Ademola Adewole Adegoroye,Minister of State for Transportation
->,Adeleke Mamora->Egwumakama Joseph Nkama,Minister of State for Health
---,Omotayo Alasuadura,Minister of State for Niger Delta
---,Muhammadu Buhari,President of Nigeria
---,Muhammadu Buhari,Minister of Petroleum Resources
---,Festus Keyamo,"Minister of State, Labour"
+++,Umar Ibrahim El-Yakub,Minister of State for Works and Housing
+++,Umana Okon Umana,Minister of Niger Delta Affairs
+++,Senator Gbemisola Saraki,"Minister of State, Mines and Steel Development"
+++,Senator Adeleke Mamora,Minister of Science and Technology
+++,Odum Udih,Minister of State Environment
+++,Henry Ikechukwu Ikoh,"Minister of State, Science and Technology"
+++,Goodluck Nnana Opiah,Minister of State for Education
