ordinal,item,itemLabel,start,end,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
4,Q28790366,4th National Assembly of Nigeria,1999-01-01,2003-01-01,,,1999-01-01,9,,,2003-01-01,9,,,,,,,Q20313079,5th National Assembly of Nigeria
5,Q20313079,5th National Assembly of Nigeria,2003-06-03,2007-06-05,,,2003-06-03,11,,,2007-06-05,11,,,,,Q28790366,4th National Assembly of Nigeria,Q20311167,6th National Assembly of Nigeria
6,Q20311167,6th National Assembly of Nigeria,2007-06-05,2011-06-06,,,2007-06-05,11,,,2011-06-06,11,,,,,Q20313079,5th National Assembly of Nigeria,Q20311218,7th National Assembly of Nigeria
7,Q20311218,7th National Assembly of Nigeria,2011-06-06,2015-06-04,,,2011-06-06,11,,,2015-06-04,11,,,,,Q20311167,6th National Assembly of Nigeria,Q20311259,8th National Assembly of Nigeria
8,Q20311259,8th National Assembly of Nigeria,2015-06-09,2019-06-09,2015-06-09,11,2015-06-09,11,2019-06-09,11,,,,,,,Q20311218,7th National Assembly of Nigeria,,
