item,itemLabel,state,stateLabel
Q59681117,Enugu North/Enugu South,Q3817714,Enugu State
Q59681121,Ezeagu/Udi,Q3817714,Enugu State
Q59681122,Igbo-Etiti/Uzo-Uwani,Q3817714,Enugu State
Q59681125,Igbo-Eze North/Udenu,Q3817714,Enugu State
Q59681128,Nkanu East/Nkanu West,Q3817714,Enugu State
Q59681129,Nsukka/Igbo-Eze South,Q3817714,Enugu State
Q59681548,Abaji/Gwagwalada/Kwali/Kuje,Q509300,Federal Capital Territory
Q59681549,Municipal/Bwari,Q509300,Federal Capital Territory
Q59681130,Akko,Q376241,Gombe State
Q59681132,Balanga/Billiri,Q376241,Gombe State
Q59681139,Dukku/Nafada,Q376241,Gombe State
Q59681138,Gombe/Kwami/Funakaye,Q376241,Gombe State
Q59681133,Kaltungo/Shongom,Q376241,Gombe State
Q59681131,Yamaltu/Deba,Q376241,Gombe State
Q59681148,Aboh Mbaise/Ngor Okpala,Q842939,Imo State
Q59681152,Ahiazu Mbaise/Ezinihitte,Q842939,Imo State
Q59681141,Ehime Mbano/Ihite-Uboma/Obowo,Q842939,Imo State
Q59681144,Ideato North/Ideato South,Q842939,Imo State
Q59681154,Ikeduru/Mbaitoli,Q842939,Imo State
Q59681143,Isiala Mbano/Okigwe/Onuimo,Q842939,Imo State
Q59681145,Isu/Njaba/Nkwerre/Nwangele,Q842939,Imo State
Q59681146,Oguta/Ohaji-Egbema/Oru West,Q842939,Imo State
Q59681147,Oru East/Orsu/Orlu,Q842939,Imo State
Q59681155,Owerri Municipal/Owerri North/Owerri West,Q842939,Imo State
Q59681157,Babura/Garki,Q682691,Jigawa State
Q59681158,Birnin Kudu/Buji,Q682691,Jigawa State
Q59681160,Birniwa Guri/Kirikasamma,Q682691,Jigawa State
Q59681161,Dutse/Kiyawa,Q682691,Jigawa State
Q59681165,Gumel/Maigatari/Sule Tankarkar/Gagarawa,Q682691,Jigawa State
Q59681163,Gwaram,Q682691,Jigawa State
Q59681169,Hadejia/Kafin Hausa,Q682691,Jigawa State
Q59681170,Jahun/Miga,Q682691,Jigawa State
Q59681174,Kazaure/Roni/Gwiwa/Yankwashi,Q682691,Jigawa State
