stateLabel,governor,governorLabel,start
Abia State,Q19958158,Okezie Ikpeazu,2015
Adamawa State,Q61732418,Ahmadu Umaru Fintiri,2019
Akwa Ibom State,Q20982220,Udom Gabriel Emmanuel,2015
Anambra State,Q3511696,Charles Chukwuma Soludo,2022
Bauchi State,Q4849691,Bala Muhammed,2019
Bayelsa State,Q35539386,Douye Diri,2020
Benue State,Q18354225,Samuel Ortom,2015
Borno State,Q62059920,Babagana Umara Zulum,2019
Cross River State,Q4887251,Benedict Ayade,2015
Delta State,Q4799876,Ifeanyi Okowa,2015
Ebonyi State,Q20982222,Dave Umahi,2015
Edo State,Q24049118,Godwin Obaseki,2016
Ekiti State,Q6380660,Kayode Fayemi,2018
Enugu State,Q20982221,Ifeanyi Ugwuanyi,2015
Gombe State,Q62326774,Muhammad Inuwa Yahaya,2019
Imo State,Q5899569,Hope Uzodinma,2020
Jigawa State,Q20090052,Mohammed Badaru Abubakar,2015
Kaduna State,Q6082944,Nasir Ahmad el-Rufai,2015
Kano State,Q18719262,Abdullahi Umar Ganduje,2015
Katsina State,Q18098561,Aminu Bello Masari,2015
Kebbi State,Q10998235,Abubakar Atiku Bagudu,2015
Kogi State,Q22295109,Yahaya Bello,2016
Kwara State,Q62059854,AbdulRahman AbdulRasaq,2019
Lagos State,Q56678515,Babajide Sanwo-Olu,2019
Nasarawa State,Q62036561,Abdullahi Sule,2019
Niger State,Q19668818,Abubakar Sani Bello,2015
Ogun State,Q61594908,Dapo Abiodun,2019
Ondo State,Q6725311,Oluwarotimi Odunayo Akeredolu,2017
Osun State,Q57585749,Adegboyega Oyetola,2018
Oyo State,Q17486606,Oluwaseyi Makinde,2019
Plateau State,Q25038599,Simon Lalong,2015
Rivers State,Q18354468,Ezenwo Nyesom Wike,2015
Sokoto State,Q4746479,Aminu Waziri Tambuwal,2015
Taraba State,Q24565884,Darius Ishaku,2015
Yobe State,Q62695804,Mai Mala Buni,2019
Zamfara State,Q64736713,Bello Matawalle,2019
