state,stateLabel,governor,governorLabel,position,positionLabel,year,end
Q320852,Abia State,Q19958158,Victor Okezie Ikpeazu,Q19671478,Governor of Abia State,2015,
Q337514,Adamawa State,Q61732418,Umaru Fintiri,Q19671527,Governor of Adamawa State,2019,
Q424388,Akwa Ibom State,Q20982220,Udom Gabriel Emmanuel,Q19671558,Governor of Akwa Ibom State,2015,
Q117714,Anambra State,Q3511696,Charles Chukwuma Soludo,Q19671587,Governor of Anambra State,2022,
Q503936,Bauchi State,Q4849691,Bala Mohammed,Q19681521,Governor of Bauchi State,2019,
Q532153,Bayelsa State,Q35539386,Douye Diri,Q19681529,Governor of Bayelsa State,2020,
Q429908,Benue State,Q18354225,Samuel Ioraer Ortom,Q19670906,Governor of Benue State,2015,
Q130626,Borno State,Q62059920,Babagana Umara Zulum,Q19681536,Governor of Borno State,2019,
Q739676,Cross River State,Q4887251,Benedict Ayade,Q53845430,Governor of Cross River State,2015,
Q503910,Delta State,Q4799876,Arthur Ifeanyi Okowa,Q19682774,Governor of Delta State,2015,
Q506808,Ebonyi State,Q20982222,Dave Umahi,Q19682827,Governor of Ebonyi State,2015,
Q682704,Edo State,Q24049118,Godwin Obaseki,Q19682857,Governor of Edo State,2016,
Q534917,Ekiti State,Q6380660,Kayode Fayemi,Q53857743,Governor of Ekiti State,2018,
Q3817714,Enugu State,Q20982221,Ifeanyi Ugwuanyi,Q53857940,Governor of Enugu State,2015,
Q376241,Gombe State,Q62326774,Muhammad Inuwa Yahaya,Q53857981,Governor of Gombe State,2019,
Q842939,Imo State,Q5899569,Hope Uzodinma,Q53857987,Governor of Imo State,2020,
Q682691,Jigawa State,Q20090052,Badaru Abubakar,Q53857995,Governor of Jigawa State,2015,
Q878284,Kaduna State,Q6082944,Nasir Ahmad el-Rufai,Q14915296,Governor of Kaduna State,2015,
Q682571,Kano State,Q18719262,Abdullahi Umar Ganduje,Q53864915,Governor of Kano State,2015,
Q657821,Katsina State,Q18098561,Aminu Bello Masari,Q53864950,Governor of Katsina State,2015,
Q748523,Kebbi State,Q10998235,Abubakar Atiku Bagudu,Q6572142,Governor of Kebbi State,2015,
Q387745,Kogi State,Q22295109,Yahaya Adoza Bello,Q53865201,Governor of Kogi State,2016,
Q464953,Kwara State,Q62059854,AbdulRahman AbdulRasaq,Q53865552,Governor of Kwara State,2019,
Q815913,Lagos,Q56678515,Babajide Sanwo-Olu,Q19901457,Lagos State Governor,2019,
Q836645,Nasarawa State,Q62036561,Abdullahi Sule,Q53866357,Governor of Nasarawa State,2019,
Q503932,Niger State,Q19668818,Abubakar Sani Bello,Q53866438,Governor of Niger State,2015,
Q836657,Ogun State,Q61594908,Dapo Abiodun,Q53869139,Governor of Ogun State,2019,
Q836654,Ondo State,Q6725311,Oluwarotimi Odunayo Akeredolu,Q53869155,Governor of Ondo State,2017,
Q682721,Osun State,Q57585749,Adegboyega Oyetola,Q53869191,Governor of Osun State,2018,
Q503905,Oyo State,Q17486606,Oluwaseyi Makinde,Q13140661,Governor of Oyo State,2019,
Q503928,Plateau State,Q25038599,Simon Bako Lalong,Q53869276,Governor of Plateau State,2015,
Q503923,Rivers State,Q18354468,Ezenwo Nyesom Wike,Q23020727,Governor of Rivers State,2015,
Q503941,Sokoto State,Q4746479,Aminu Waziri Tambuwal,Q53869292,Governor of Sokoto State,2015,
Q463959,Taraba State,Q24565884,Darius Ishaku,Q53869373,Governor of Taraba State,2015,
Q682777,Yobe State,Q62695804,Mai Mala Buni,Q53869380,Governor of Yobe State,2019,
Q145793,Zamfara State,Q64736713,Bello Matawalle,Q53869387,Governor of Zamfara State,2019,
